"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 00:00:00.000,6 Jan 2040 04:05:12.739,446712.739
2,6 Jan 2040 06:34:55.801,6 Jan 2040 09:00:57.712,8761.912
3,6 Jan 2040 12:15:43.220,8 Jan 2040 08:19:53.743,158650.523
4,8 Jan 2040 10:06:16.491,9 Jan 2040 15:55:25.952,107349.462
5,9 Jan 2040 17:44:43.567,11 Jan 2040 01:47:09.746,115346.179
6,11 Jan 2040 03:20:04.262,16 Jan 2040 18:48:20.808,487696.546
7,16 Jan 2040 19:55:05.795,17 Jan 2040 02:45:53.534,24647.739
8,17 Jan 2040 03:48:13.991,17 Jan 2040 10:35:21.105,24427.114
9,17 Jan 2040 11:36:04.879,17 Jan 2040 18:21:54.246,24349.367
10,17 Jan 2040 19:21:49.856,18 Jan 2040 02:07:02.951,24313.094
11,18 Jan 2040 03:06:32.732,18 Jan 2040 09:51:26.685,24293.953
12,18 Jan 2040 10:50:43.008,18 Jan 2040 17:35:25.806,24282.798
13,18 Jan 2040 18:34:37.813,19 Jan 2040 01:19:15.355,24277.542
14,19 Jan 2040 02:18:30.613,19 Jan 2040 09:03:07.431,24276.818
15,19 Jan 2040 10:02:33.291,19 Jan 2040 16:47:14.426,24281.135
16,19 Jan 2040 17:47:00.716,20 Jan 2040 00:31:54.048,24293.332
17,20 Jan 2040 01:32:14.010,20 Jan 2040 08:17:34.776,24320.766
18,20 Jan 2040 09:18:51.957,20 Jan 2040 16:05:18.029,24386.072
19,20 Jan 2040 17:08:23.805,20 Jan 2040 23:58:04.724,24580.919
20,21 Jan 2040 01:05:46.732,21 Jan 2040 08:18:53.070,25986.338
21,21 Jan 2040 13:42:55.285,21 Jan 2040 21:14:12.479,27077.194
22,21 Jan 2040 22:21:29.250,22 Jan 2040 05:12:47.001,24677.752
23,22 Jan 2040 06:15:14.884,22 Jan 2040 13:02:32.138,24437.255
24,22 Jan 2040 14:03:18.035,22 Jan 2040 20:49:12.972,24354.936
25,22 Jan 2040 21:49:08.720,23 Jan 2040 04:34:25.779,24317.059
26,23 Jan 2040 05:33:54.634,23 Jan 2040 12:18:51.712,24297.078
27,23 Jan 2040 13:18:06.398,23 Jan 2040 20:02:51.936,24285.538
28,23 Jan 2040 21:02:01.863,24 Jan 2040 03:46:41.814,24279.950
29,24 Jan 2040 04:45:54.458,24 Jan 2040 11:30:33.304,24278.847
30,24 Jan 2040 12:29:56.063,24 Jan 2040 19:14:38.921,24282.858
31,24 Jan 2040 20:14:21.433,25 Jan 2040 02:59:15.750,24294.317
32,25 Jan 2040 03:59:30.800,25 Jan 2040 10:44:51.115,24320.315
33,25 Jan 2040 11:46:01.406,25 Jan 2040 18:32:23.230,24381.823
34,25 Jan 2040 19:35:17.019,26 Jan 2040 02:24:37.676,24560.657
35,26 Jan 2040 03:24:58.963,27 Jan 2040 02:24:18.480,82759.516

