"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 04:24:04.734,1 Jan 2040 08:06:04.334,13319.600
2,1 Jan 2040 12:35:14.263,1 Jan 2040 16:07:09.249,12714.986
3,1 Jan 2040 20:26:51.813,1 Jan 2040 23:57:27.593,12635.780
4,2 Jan 2040 04:14:10.178,2 Jan 2040 07:44:21.639,12611.461
5,2 Jan 2040 11:59:39.358,2 Jan 2040 15:29:41.260,12601.902
6,2 Jan 2040 19:44:13.322,2 Jan 2040 23:14:10.840,12597.518
7,3 Jan 2040 03:28:18.849,3 Jan 2040 06:58:13.814,12594.965
8,3 Jan 2040 11:12:11.329,3 Jan 2040 14:42:05.442,12594.113
9,3 Jan 2040 18:56:04.044,3 Jan 2040 22:25:57.978,12593.934
10,4 Jan 2040 02:40:09.262,4 Jan 2040 06:10:04.093,12594.832
11,4 Jan 2040 10:24:41.976,4 Jan 2040 13:54:40.123,12598.146
12,4 Jan 2040 18:10:06.038,4 Jan 2040 21:40:12.420,12606.381
13,5 Jan 2040 01:57:05.260,5 Jan 2040 05:27:34.124,12628.864
14,5 Jan 2040 09:47:26.515,5 Jan 2040 13:19:09.855,12703.340
15,5 Jan 2040 17:47:50.316,5 Jan 2040 21:27:52.252,13201.936
16,6 Jan 2040 06:47:13.539,6 Jan 2040 10:31:32.557,13459.017
17,6 Jan 2040 15:01:56.007,6 Jan 2040 18:34:00.732,12724.725
18,6 Jan 2040 22:53:59.497,7 Jan 2040 02:24:38.850,12639.353
19,7 Jan 2040 06:41:27.340,7 Jan 2040 10:11:41.351,12614.011
20,7 Jan 2040 14:27:01.060,7 Jan 2040 17:57:05.451,12604.391
21,7 Jan 2040 22:11:37.530,8 Jan 2040 01:41:37.601,12600.071
22,8 Jan 2040 05:55:44.320,8 Jan 2040 09:25:42.034,12597.714
23,8 Jan 2040 13:39:37.288,8 Jan 2040 17:09:34.335,12597.047
24,8 Jan 2040 21:23:29.818,9 Jan 2040 00:53:26.829,12597.010
25,9 Jan 2040 05:07:33.986,9 Jan 2040 08:37:32.115,12598.129
26,9 Jan 2040 12:52:04.753,9 Jan 2040 16:22:06.207,12601.454
27,9 Jan 2040 20:37:25.053,10 Jan 2040 00:07:34.605,12609.552
28,10 Jan 2040 04:24:16.925,10 Jan 2040 07:54:48.033,12631.108
29,10 Jan 2040 12:14:21.159,10 Jan 2040 15:46:01.421,12700.263
30,10 Jan 2040 20:13:40.244,10 Jan 2040 23:52:27.050,13126.806
31,11 Jan 2040 09:09:00.288,11 Jan 2040 12:56:40.223,13659.936
32,11 Jan 2040 17:28:32.201,11 Jan 2040 21:00:47.401,12735.201
33,12 Jan 2040 01:21:04.947,12 Jan 2040 04:51:47.457,12642.510
