"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 00:00:00.000,1 Jan 2040 00:45:50.332,2750.332
2,1 Jan 2040 04:00:21.612,1 Jan 2040 05:58:22.273,7080.661
3,1 Jan 2040 06:49:55.194,1 Jan 2040 08:25:23.149,5727.955
4,1 Jan 2040 11:39:38.176,1 Jan 2040 13:37:48.494,7090.318
5,1 Jan 2040 14:29:17.888,1 Jan 2040 16:04:55.964,5738.076
6,1 Jan 2040 19:18:54.741,1 Jan 2040 21:17:14.636,7099.895
7,1 Jan 2040 22:08:40.690,1 Jan 2040 23:44:28.767,5748.076
8,2 Jan 2040 02:58:11.315,2 Jan 2040 04:56:41.264,7109.949
9,2 Jan 2040 05:48:03.741,2 Jan 2040 07:24:01.560,5757.820
10,2 Jan 2040 10:37:27.888,2 Jan 2040 12:36:07.431,7119.543
11,2 Jan 2040 13:27:26.401,2 Jan 2040 15:03:34.354,5767.953
12,2 Jan 2040 18:16:44.472,2 Jan 2040 20:15:33.705,7129.233
13,2 Jan 2040 21:06:49.242,2 Jan 2040 22:43:07.131,5777.890
14,3 Jan 2040 01:56:01.054,3 Jan 2040 03:55:00.288,7139.234
15,3 Jan 2040 04:46:12.086,3 Jan 2040 06:22:39.908,5787.822
16,3 Jan 2040 09:35:17.648,3 Jan 2040 11:34:26.492,7148.845
17,3 Jan 2040 12:25:34.831,3 Jan 2040 14:02:12.672,5797.841
18,3 Jan 2040 17:14:34.238,3 Jan 2040 19:13:52.909,7158.670
19,3 Jan 2040 20:04:57.635,3 Jan 2040 21:41:45.432,5807.798
20,4 Jan 2040 00:53:50.842,4 Jan 2040 02:53:19.346,7168.504
21,4 Jan 2040 03:44:20.289,4 Jan 2040 05:21:18.183,5817.894
22,4 Jan 2040 08:33:07.441,4 Jan 2040 10:32:45.709,7178.267
23,4 Jan 2040 11:23:43.166,4 Jan 2040 13:00:50.922,5827.756
24,4 Jan 2040 16:12:24.049,4 Jan 2040 18:12:12.175,7188.126
25,4 Jan 2040 19:03:05.858,4 Jan 2040 20:40:23.661,5837.803
26,4 Jan 2040 23:51:40.664,5 Jan 2040 01:51:38.480,7197.816
27,5 Jan 2040 02:42:28.417,5 Jan 2040 04:19:56.387,5847.970
28,5 Jan 2040 07:30:57.280,5 Jan 2040 09:31:05.071,7207.791
29,5 Jan 2040 10:21:51.376,5 Jan 2040 11:59:29.110,5857.733
30,5 Jan 2040 15:10:13.905,5 Jan 2040 17:10:31.499,7217.594
31,5 Jan 2040 18:01:13.921,5 Jan 2040 19:39:01.822,5867.901
32,5 Jan 2040 22:49:30.530,6 Jan 2040 00:49:57.778,7227.248
33,6 Jan 2040 01:40:36.484,6 Jan 2040 03:18:34.524,5878.040
34,6 Jan 2040 06:28:47.166,6 Jan 2040 08:29:24.541,7237.375
35,6 Jan 2040 09:19:59.402,6 Jan 2040 10:58:07.226,5887.824
36,6 Jan 2040 14:08:03.800,6 Jan 2040 16:08:50.895,7247.095
37,6 Jan 2040 16:59:21.856,6 Jan 2040 18:37:39.915,5898.059
38,6 Jan 2040 21:47:20.446,6 Jan 2040 23:48:17.270,7256.824
39,7 Jan 2040 00:38:44.463,7 Jan 2040 02:17:12.601,5908.138
40,7 Jan 2040 05:26:37.089,7 Jan 2040 07:27:44.068,7266.979
41,7 Jan 2040 08:18:07.213,7 Jan 2040 09:56:45.276,5918.063
42,7 Jan 2040 13:05:53.745,7 Jan 2040 15:07:10.410,7276.665
43,7 Jan 2040 15:57:29.683,7 Jan 2040 17:36:17.941,5928.258
44,7 Jan 2040 20:45:10.397,7 Jan 2040 22:46:36.931,7286.534
45,7 Jan 2040 23:36:52.308,8 Jan 2040 01:15:50.608,5938.299
46,8 Jan 2040 04:24:27.058,8 Jan 2040 06:26:03.627,7296.568
47,8 Jan 2040 07:16:14.847,8 Jan 2040 08:55:23.259,5948.412
48,8 Jan 2040 12:03:43.726,8 Jan 2040 14:05:30.072,7306.346
49,8 Jan 2040 14:55:37.435,8 Jan 2040 16:34:55.909,5958.474
50,8 Jan 2040 19:43:00.397,8 Jan 2040 21:44:56.694,7316.298
51,8 Jan 2040 22:34:59.991,9 Jan 2040 00:14:28.549,5968.558
52,9 Jan 2040 03:22:17.075,9 Jan 2040 05:24:23.237,7326.162
53,9 Jan 2040 06:14:22.377,9 Jan 2040 07:54:01.178,5978.801
54,9 Jan 2040 11:01:33.755,9 Jan 2040 13:03:49.883,7336.128
55,9 Jan 2040 13:53:45.095,9 Jan 2040 15:33:33.808,5988.713
56,9 Jan 2040 18:40:50.444,9 Jan 2040 20:43:16.518,7346.074
57,9 Jan 2040 21:33:07.511,9 Jan 2040 23:13:06.424,5998.913
58,10 Jan 2040 02:20:07.133,10 Jan 2040 04:22:42.963,7355.830
59,10 Jan 2040 05:12:29.851,10 Jan 2040 06:52:39.039,6009.188
60,10 Jan 2040 09:59:23.834,10 Jan 2040 12:02:09.828,7365.994
61,10 Jan 2040 12:51:52.601,10 Jan 2040 14:32:11.643,6019.042
62,10 Jan 2040 17:38:40.532,10 Jan 2040 19:41:36.398,7375.866
63,10 Jan 2040 20:31:14.886,10 Jan 2040 22:11:44.241,6029.355
64,11 Jan 2040 01:17:57.243,11 Jan 2040 03:21:02.885,7385.642
65,11 Jan 2040 04:10:37.261,11 Jan 2040 05:51:16.832,6039.571
66,11 Jan 2040 08:57:13.955,11 Jan 2040 11:00:29.857,7395.902
67,11 Jan 2040 11:49:59.910,11 Jan 2040 13:30:49.412,6049.502
68,11 Jan 2040 16:36:30.668,11 Jan 2040 18:39:56.370,7405.703
69,11 Jan 2040 19:29:22.146,11 Jan 2040 21:10:21.993,6059.847
70,12 Jan 2040 00:15:47.391,12 Jan 2040 02:19:22.995,7415.605
71,12 Jan 2040 03:08:44.562,12 Jan 2040 04:49:54.561,6070.000
72,12 Jan 2040 07:55:04.118,12 Jan 2040 09:58:49.935,7425.817
73,12 Jan 2040 10:48:07.014,12 Jan 2040 12:29:27.126,6080.111
74,12 Jan 2040 15:34:20.852,12 Jan 2040 17:38:16.483,7435.631
75,12 Jan 2040 18:27:29.321,12 Jan 2040 20:08:59.682,6090.360
76,12 Jan 2040 23:13:37.589,13 Jan 2040 01:17:43.244,7445.655
77,13 Jan 2040 02:06:51.721,13 Jan 2040 03:48:32.227,6100.506
78,13 Jan 2040 06:52:54.335,13 Jan 2040 08:57:10.044,7455.709
79,13 Jan 2040 09:46:13.979,13 Jan 2040 11:28:04.773,6110.794
80,13 Jan 2040 14:32:11.081,13 Jan 2040 16:36:36.759,7465.677
81,13 Jan 2040 17:25:36.421,13 Jan 2040 19:07:37.307,6120.886
82,13 Jan 2040 22:11:27.839,14 Jan 2040 00:16:03.576,7475.736
83,14 Jan 2040 01:04:58.720,14 Jan 2040 02:47:09.838,6131.119
84,14 Jan 2040 05:50:44.595,14 Jan 2040 07:55:30.238,7485.643
85,14 Jan 2040 08:44:20.871,14 Jan 2040 10:26:42.356,6141.485
86,14 Jan 2040 13:30:01.359,14 Jan 2040 15:34:57.173,7495.814
87,14 Jan 2040 16:23:43.410,14 Jan 2040 18:06:14.872,6151.461
88,14 Jan 2040 21:09:18.129,14 Jan 2040 23:14:23.960,7505.831
89,15 Jan 2040 00:03:05.566,15 Jan 2040 01:45:47.385,6161.819
90,15 Jan 2040 04:48:34.905,15 Jan 2040 06:53:50.591,7515.686
91,15 Jan 2040 07:42:27.709,15 Jan 2040 09:25:19.885,6172.176
92,15 Jan 2040 12:27:51.690,15 Jan 2040 14:33:17.708,7526.018
93,15 Jan 2040 15:21:50.229,15 Jan 2040 17:04:52.383,6182.153
94,15 Jan 2040 20:07:08.472,15 Jan 2040 22:12:44.421,7535.948
95,15 Jan 2040 23:01:12.278,16 Jan 2040 00:44:24.872,6192.593
96,16 Jan 2040 03:46:25.266,16 Jan 2040 05:52:11.146,7545.880
97,16 Jan 2040 06:40:34.470,16 Jan 2040 08:23:57.354,6202.883
98,16 Jan 2040 11:25:42.062,16 Jan 2040 13:31:38.306,7556.244
99,16 Jan 2040 14:19:56.841,16 Jan 2040 16:03:29.829,6212.988
100,16 Jan 2040 19:04:58.868,16 Jan 2040 21:11:05.006,7566.139
101,16 Jan 2040 21:59:18.895,16 Jan 2040 23:43:02.295,6223.401
102,17 Jan 2040 02:44:15.673,17 Jan 2040 04:50:31.877,7576.204
103,17 Jan 2040 05:38:41.116,17 Jan 2040 07:22:34.761,6233.645
