"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 00:00:00.000,1 Jan 2040 02:49:35.102,10175.102
2,1 Jan 2040 04:24:10.596,1 Jan 2040 06:05:10.698,6060.101
3,1 Jan 2040 09:35:31.576,1 Jan 2040 11:29:44.079,6852.503
4,1 Jan 2040 12:35:19.540,1 Jan 2040 14:04:06.314,5326.773
5,1 Jan 2040 17:36:32.753,1 Jan 2040 19:24:52.402,6499.649
6,1 Jan 2040 20:26:57.022,1 Jan 2040 21:53:20.710,5183.687
7,2 Jan 2040 01:27:07.102,2 Jan 2040 03:13:34.354,6387.252
8,2 Jan 2040 04:14:15.366,2 Jan 2040 05:39:40.489,5125.124
9,2 Jan 2040 09:14:10.420,2 Jan 2040 10:59:46.443,6336.023
10,2 Jan 2040 11:59:44.533,2 Jan 2040 13:24:41.092,5096.559
11,2 Jan 2040 16:59:33.538,2 Jan 2040 18:44:43.534,6309.996
12,2 Jan 2040 19:44:18.499,2 Jan 2040 21:09:01.122,5082.622
13,3 Jan 2040 00:44:02.222,3 Jan 2040 02:29:00.481,6298.259
14,3 Jan 2040 03:28:24.025,3 Jan 2040 04:53:01.352,5077.327
15,3 Jan 2040 08:28:00.567,3 Jan 2040 10:12:56.058,6295.491
16,3 Jan 2040 11:12:16.510,3 Jan 2040 12:36:55.844,5079.335
17,3 Jan 2040 16:11:43.907,3 Jan 2040 17:56:44.141,6300.234
18,3 Jan 2040 18:56:09.230,3 Jan 2040 20:20:56.708,5087.477
19,3 Jan 2040 23:55:24.222,4 Jan 2040 01:40:37.253,6313.031
20,4 Jan 2040 02:40:14.453,4 Jan 2040 04:05:17.049,5102.596
21,4 Jan 2040 07:39:13.181,4 Jan 2040 09:24:47.711,6334.530
22,4 Jan 2040 10:24:47.182,4 Jan 2040 11:50:14.592,5127.410
23,4 Jan 2040 15:23:25.273,4 Jan 2040 17:09:34.776,6369.502
24,4 Jan 2040 18:10:11.265,4 Jan 2040 19:36:18.506,5167.241
25,4 Jan 2040 23:08:23.122,5 Jan 2040 00:55:30.780,6427.658
26,5 Jan 2040 01:57:10.515,5 Jan 2040 03:24:26.975,5236.460
27,5 Jan 2040 06:54:51.558,5 Jan 2040 08:43:47.363,6535.805
28,5 Jan 2040 09:47:31.844,5 Jan 2040 11:17:12.300,5380.456
29,5 Jan 2040 14:44:52.675,5 Jan 2040 16:38:19.580,6806.905
30,5 Jan 2040 17:47:55.882,5 Jan 2040 19:26:05.834,5889.952
31,5 Jan 2040 22:49:51.148,6 Jan 2040 01:46:39.455,10608.306
32,6 Jan 2040 02:41:34.559,6 Jan 2040 04:59:11.268,8256.710
33,6 Jan 2040 06:47:19.568,6 Jan 2040 08:30:47.181,6207.613
34,6 Jan 2040 12:01:02.736,6 Jan 2040 13:56:06.005,6903.268
35,6 Jan 2040 15:02:01.286,6 Jan 2040 16:31:01.071,5339.785
36,6 Jan 2040 20:03:21.492,6 Jan 2040 21:51:55.180,6513.689
37,6 Jan 2040 22:54:04.701,7 Jan 2040 00:20:32.140,5187.439
38,7 Jan 2040 03:54:16.630,7 Jan 2040 05:40:50.397,6393.767
39,7 Jan 2040 06:41:32.527,7 Jan 2040 08:06:58.778,5126.251
40,7 Jan 2040 11:41:29.323,7 Jan 2040 13:27:08.583,6339.260
41,7 Jan 2040 14:27:06.235,7 Jan 2040 15:52:02.867,5096.632
42,7 Jan 2040 19:26:57.638,7 Jan 2040 21:12:08.961,6311.323
43,7 Jan 2040 22:11:42.705,7 Jan 2040 23:36:24.755,5082.050
44,8 Jan 2040 03:11:29.544,8 Jan 2040 04:56:27.790,6298.246
45,8 Jan 2040 05:55:49.492,8 Jan 2040 07:20:25.872,5076.379
46,8 Jan 2040 10:55:29.927,8 Jan 2040 12:40:24.228,6294.301
47,8 Jan 2040 13:39:42.467,8 Jan 2040 15:04:20.523,5078.055
48,8 Jan 2040 18:39:14.528,8 Jan 2040 20:24:12.542,6298.014
49,8 Jan 2040 21:23:34.999,8 Jan 2040 22:48:20.838,5085.839
50,9 Jan 2040 02:22:55.437,9 Jan 2040 04:08:05.109,6309.672
51,9 Jan 2040 05:07:39.181,9 Jan 2040 06:32:39.792,5100.612
52,9 Jan 2040 10:06:44.286,9 Jan 2040 11:52:14.191,6329.905
53,9 Jan 2040 12:52:09.955,9 Jan 2040 14:17:34.743,5124.788
54,9 Jan 2040 17:50:55.361,9 Jan 2040 19:36:58.595,6363.233
55,9 Jan 2040 20:37:30.273,9 Jan 2040 22:03:33.881,5163.608
56,10 Jan 2040 01:35:50.628,10 Jan 2040 03:22:49.277,6418.649
57,10 Jan 2040 04:24:22.181,10 Jan 2040 05:51:32.791,5230.610
58,10 Jan 2040 09:22:12.980,10 Jan 2040 11:10:54.329,6521.349
59,10 Jan 2040 12:14:26.475,10 Jan 2040 13:43:54.104,5367.630
60,10 Jan 2040 17:11:56.568,10 Jan 2040 19:04:49.290,6772.722
61,10 Jan 2040 20:13:45.782,10 Jan 2040 21:50:51.988,5826.207
62,11 Jan 2040 01:14:54.363,11 Jan 2040 03:44:51.535,8997.173
63,11 Jan 2040 09:09:06.585,11 Jan 2040 10:56:03.274,6416.689
64,11 Jan 2040 14:26:16.053,11 Jan 2040 16:22:19.073,6963.020
65,11 Jan 2040 17:28:37.491,11 Jan 2040 18:57:51.810,5354.319
66,11 Jan 2040 22:30:05.764,12 Jan 2040 00:18:54.950,6529.185
67,12 Jan 2040 01:21:10.155,12 Jan 2040 02:47:41.389,5191.234
68,12 Jan 2040 06:21:23.915,12 Jan 2040 08:08:04.751,6400.837
69,12 Jan 2040 09:08:48.315,12 Jan 2040 10:34:15.455,5127.140
70,12 Jan 2040 14:08:46.737,12 Jan 2040 15:54:29.539,6342.802
71,12 Jan 2040 16:54:26.930,12 Jan 2040 18:19:23.255,5096.325
72,12 Jan 2040 21:54:20.624,12 Jan 2040 23:39:33.464,6312.839
73,13 Jan 2040 00:39:06.080,13 Jan 2040 02:03:47.136,5081.056
74,13 Jan 2040 05:38:55.928,13 Jan 2040 07:23:54.279,6298.351
75,13 Jan 2040 08:23:14.195,13 Jan 2040 09:47:49.188,5074.993
76,13 Jan 2040 13:22:58.473,13 Jan 2040 15:07:51.651,6293.179
77,13 Jan 2040 16:07:07.713,13 Jan 2040 17:31:43.990,5076.277
78,13 Jan 2040 21:06:44.371,13 Jan 2040 22:51:40.227,6295.856
79,13 Jan 2040 23:51:00.052,14 Jan 2040 01:15:43.752,5083.700
80,14 Jan 2040 04:50:25.888,14 Jan 2040 06:35:32.224,6306.337
81,14 Jan 2040 07:35:03.160,14 Jan 2040 09:00:01.280,5098.120
82,14 Jan 2040 12:34:14.631,14 Jan 2040 14:19:39.922,6325.291
83,14 Jan 2040 15:19:31.944,14 Jan 2040 16:44:53.556,5121.612
84,14 Jan 2040 20:18:24.642,14 Jan 2040 22:04:21.603,6356.961
85,14 Jan 2040 23:04:48.420,15 Jan 2040 00:30:47.834,5159.415
86,15 Jan 2040 04:03:17.250,15 Jan 2040 05:50:06.912,6409.662
87,15 Jan 2040 06:51:32.935,15 Jan 2040 08:18:37.144,5224.209
88,15 Jan 2040 11:49:33.457,15 Jan 2040 13:38:00.509,6507.052
89,15 Jan 2040 14:41:20.374,15 Jan 2040 16:10:34.903,5354.529
90,15 Jan 2040 19:38:59.853,15 Jan 2040 21:31:19.805,6739.952
91,15 Jan 2040 22:39:38.858,16 Jan 2040 00:15:47.329,5768.471
92,16 Jan 2040 03:40:12.206,16 Jan 2040 05:59:35.150,8362.944
93,16 Jan 2040 11:28:35.380,16 Jan 2040 13:20:53.677,6738.297
94,16 Jan 2040 16:51:08.210,16 Jan 2040 18:48:22.268,7034.057
95,16 Jan 2040 19:55:07.714,16 Jan 2040 21:24:38.399,5370.685
96,17 Jan 2040 00:56:45.381,17 Jan 2040 02:45:51.683,6546.302
97,17 Jan 2040 03:48:13.391,17 Jan 2040 05:14:48.507,5195.116
98,17 Jan 2040 08:48:28.947,17 Jan 2040 10:35:17.474,6408.527
99,17 Jan 2040 11:36:02.798,17 Jan 2040 13:01:30.597,5127.799
100,17 Jan 2040 16:36:02.726,17 Jan 2040 18:21:49.379,6346.654
101,17 Jan 2040 19:21:46.700,17 Jan 2040 20:46:42.372,5095.672
102,18 Jan 2040 00:21:42.558,18 Jan 2040 02:06:57.119,6314.561
103,18 Jan 2040 03:06:28.704,18 Jan 2040 04:31:08.340,5079.636
104,18 Jan 2040 08:06:21.455,18 Jan 2040 09:51:20.027,6298.572
105,18 Jan 2040 10:50:38.221,18 Jan 2040 12:15:11.381,5073.160
106,18 Jan 2040 15:50:26.253,18 Jan 2040 17:35:18.412,6292.158
107,18 Jan 2040 18:34:32.333,18 Jan 2040 19:59:06.362,5074.029
108,18 Jan 2040 23:34:13.525,19 Jan 2040 01:19:07.279,6293.754
109,19 Jan 2040 02:18:24.477,19 Jan 2040 03:43:05.537,5081.060
110,19 Jan 2040 07:17:55.668,19 Jan 2040 09:02:58.688,6303.021
111,19 Jan 2040 10:02:26.502,19 Jan 2040 11:27:21.612,5095.110
112,19 Jan 2040 15:01:44.284,19 Jan 2040 16:47:05.005,6320.722
113,19 Jan 2040 17:46:53.262,19 Jan 2040 19:12:11.171,5117.910
114,19 Jan 2040 22:45:53.216,20 Jan 2040 00:31:43.922,6350.706
115,20 Jan 2040 01:32:05.839,20 Jan 2040 02:58:00.541,5154.702
116,20 Jan 2040 06:30:43.114,20 Jan 2040 08:17:23.851,6400.736
117,20 Jan 2040 09:18:42.977,20 Jan 2040 10:45:40.268,5217.291
118,20 Jan 2040 14:16:53.183,20 Jan 2040 16:05:06.132,6492.948
119,20 Jan 2040 17:08:13.841,20 Jan 2040 18:37:15.026,5341.185
120,20 Jan 2040 22:06:02.820,20 Jan 2040 23:57:51.462,6708.641
121,21 Jan 2040 01:05:35.409,21 Jan 2040 02:40:51.391,5715.982
122,21 Jan 2040 06:05:42.574,21 Jan 2040 08:18:36.062,7973.488
123,21 Jan 2040 13:43:13.290,21 Jan 2040 15:45:10.306,7317.016
124,21 Jan 2040 19:15:34.689,21 Jan 2040 21:14:14.297,7119.607
125,21 Jan 2040 22:21:31.416,21 Jan 2040 23:51:20.694,5389.278
126,22 Jan 2040 03:23:20.090,22 Jan 2040 05:12:45.305,6565.215
127,22 Jan 2040 06:15:14.405,22 Jan 2040 07:41:53.578,5199.173
128,22 Jan 2040 11:15:31.746,22 Jan 2040 13:02:28.610,6416.863
129,22 Jan 2040 14:03:16.038,22 Jan 2040 15:28:44.313,5128.276
130,22 Jan 2040 19:03:17.337,22 Jan 2040 20:49:08.179,6350.842
131,22 Jan 2040 21:49:05.622,22 Jan 2040 23:14:00.296,5094.674
132,23 Jan 2040 02:49:03.485,23 Jan 2040 04:34:20.003,6316.518
133,23 Jan 2040 05:33:50.658,23 Jan 2040 06:58:28.482,5077.824
134,23 Jan 2040 10:33:46.186,23 Jan 2040 12:18:45.108,6298.922
135,23 Jan 2040 13:18:01.658,23 Jan 2040 14:42:32.547,5070.889
136,23 Jan 2040 18:17:53.354,23 Jan 2040 20:02:44.591,6291.238
137,23 Jan 2040 21:01:56.425,23 Jan 2040 22:26:27.715,5071.290
138,24 Jan 2040 02:01:42.039,24 Jan 2040 03:46:33.777,6291.738
139,24 Jan 2040 04:45:48.361,24 Jan 2040 06:10:26.310,5077.950
140,24 Jan 2040 09:45:24.841,24 Jan 2040 11:30:24.602,6299.761
141,24 Jan 2040 12:29:49.318,24 Jan 2040 13:54:40.891,5091.573
142,24 Jan 2040 17:29:13.345,24 Jan 2040 19:14:29.552,6316.207
143,24 Jan 2040 20:14:14.022,24 Jan 2040 21:39:27.707,5113.685
144,25 Jan 2040 01:13:21.165,25 Jan 2040 02:59:05.665,6344.500
145,25 Jan 2040 03:59:22.677,25 Jan 2040 05:25:12.132,5149.454
146,25 Jan 2040 08:58:08.355,25 Jan 2040 10:44:40.244,6391.889
147,25 Jan 2040 11:45:52.480,25 Jan 2040 13:12:42.347,5209.867
148,25 Jan 2040 16:44:12.306,25 Jan 2040 18:32:11.409,6479.103
149,25 Jan 2040 19:35:07.129,25 Jan 2040 21:03:54.790,5327.661
150,26 Jan 2040 00:33:05.731,26 Jan 2040 02:24:24.529,6678.798
151,26 Jan 2040 03:31:35.611,26 Jan 2040 05:06:03.666,5668.055
152,26 Jan 2040 08:31:23.771,26 Jan 2040 10:39:44.724,7700.953
153,26 Jan 2040 12:33:06.577,26 Jan 2040 14:53:00.026,8393.450
154,26 Jan 2040 15:35:05.759,26 Jan 2040 18:08:40.012,9214.253
155,26 Jan 2040 21:39:29.163,26 Jan 2040 23:39:53.483,7224.321
156,27 Jan 2040 00:47:47.906,27 Jan 2040 02:17:58.474,5410.568
157,27 Jan 2040 05:49:49.579,27 Jan 2040 07:39:35.741,6586.162
158,27 Jan 2040 08:42:13.195,27 Jan 2040 10:08:56.641,5203.446
159,27 Jan 2040 13:42:32.287,27 Jan 2040 15:29:38.199,6425.912
160,27 Jan 2040 16:30:28.104,27 Jan 2040 17:55:56.677,5128.573
161,27 Jan 2040 21:30:30.601,27 Jan 2040 23:16:26.017,6355.416
162,28 Jan 2040 00:16:23.786,28 Jan 2040 01:41:17.138,5093.352
163,28 Jan 2040 05:16:23.479,28 Jan 2040 07:01:42.184,6318.705
164,28 Jan 2040 08:01:12.019,28 Jan 2040 09:25:47.636,5075.617
165,28 Jan 2040 13:01:10.169,28 Jan 2040 14:46:09.596,6299.427
166,28 Jan 2040 15:45:24.592,28 Jan 2040 17:09:52.792,5068.200
167,28 Jan 2040 20:45:19.824,28 Jan 2040 22:30:10.274,6290.450
168,28 Jan 2040 23:29:20.071,29 Jan 2040 00:53:48.161,5068.090
169,29 Jan 2040 04:29:09.999,29 Jan 2040 06:13:59.800,6289.802
170,29 Jan 2040 07:13:11.804,29 Jan 2040 08:37:46.150,5074.347
171,29 Jan 2040 12:12:53.476,29 Jan 2040 13:57:50.050,6296.575
172,29 Jan 2040 14:57:11.698,29 Jan 2040 16:21:59.236,5087.539
173,29 Jan 2040 19:56:41.875,29 Jan 2040 21:41:53.642,6311.768
174,29 Jan 2040 22:41:34.329,30 Jan 2040 00:06:43.270,5108.941
175,30 Jan 2040 03:40:48.599,30 Jan 2040 05:26:26.948,6338.349
176,30 Jan 2040 06:26:39.057,30 Jan 2040 07:52:22.765,5143.709
177,30 Jan 2040 11:25:33.065,30 Jan 2040 13:11:56.232,6383.167
178,30 Jan 2040 14:13:01.620,30 Jan 2040 15:39:43.583,5201.962
