"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 06:34:12.594,1 Jan 2040 10:16:44.458,13351.864
2,1 Jan 2040 14:28:47.717,1 Jan 2040 18:17:54.982,13747.265
3,1 Jan 2040 22:16:36.531,2 Jan 2040 02:08:52.105,13935.574
4,2 Jan 2040 06:02:10.118,2 Jan 2040 09:56:14.423,14044.305
5,2 Jan 2040 13:46:40.864,2 Jan 2040 17:41:52.994,14112.130
6,2 Jan 2040 21:30:39.761,3 Jan 2040 01:26:34.413,14154.653
7,3 Jan 2040 05:14:24.325,3 Jan 2040 09:10:43.483,14179.158
8,3 Jan 2040 12:58:07.160,3 Jan 2040 16:54:35.929,14188.769
9,3 Jan 2040 20:41:59.565,4 Jan 2040 00:38:23.973,14184.409
10,4 Jan 2040 04:26:14.625,4 Jan 2040 08:22:19.437,14164.813
11,4 Jan 2040 12:11:10.682,4 Jan 2040 16:06:36.613,14125.930
12,4 Jan 2040 19:57:18.554,4 Jan 2040 23:51:37.788,14059.234
13,5 Jan 2040 03:45:41.601,5 Jan 2040 07:38:06.594,13944.993
14,5 Jan 2040 11:39:09.752,5 Jan 2040 15:28:01.201,13731.449
15,5 Jan 2040 19:51:28.486,5 Jan 2040 23:32:21.746,13253.260
16,6 Jan 2040 09:00:04.974,6 Jan 2040 12:42:36.363,13351.389
17,6 Jan 2040 16:55:35.281,6 Jan 2040 20:44:56.067,13760.786
18,7 Jan 2040 00:43:39.511,7 Jan 2040 04:36:11.549,13952.038
19,7 Jan 2040 08:29:20.553,7 Jan 2040 12:23:41.575,14061.022
20,7 Jan 2040 16:13:55.749,7 Jan 2040 20:09:23.929,14128.180
21,7 Jan 2040 23:57:57.576,8 Jan 2040 03:54:07.244,14169.668
22,8 Jan 2040 07:41:44.137,8 Jan 2040 11:38:17.104,14192.967
23,8 Jan 2040 15:25:28.252,8 Jan 2040 19:22:09.538,14201.286
24,8 Jan 2040 23:09:21.281,9 Jan 2040 03:05:56.860,14195.579
25,9 Jan 2040 06:53:36.212,9 Jan 2040 10:49:50.821,14174.608
26,9 Jan 2040 14:38:30.976,9 Jan 2040 18:34:05.419,14134.443
27,9 Jan 2040 22:24:35.496,10 Jan 2040 02:19:02.170,14066.674
28,10 Jan 2040 06:12:50.415,10 Jan 2040 10:05:22.560,13952.145
29,10 Jan 2040 14:05:55.111,10 Jan 2040 17:54:56.281,13741.169
30,10 Jan 2040 22:16:00.064,11 Jan 2040 01:57:11.173,13271.109
31,11 Jan 2040 11:25:45.009,11 Jan 2040 15:08:11.649,13346.641
32,11 Jan 2040 19:22:20.269,11 Jan 2040 23:11:52.012,13771.743
33,12 Jan 2040 03:10:41.435,12 Jan 2040 07:03:27.867,13966.432
