Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1/1/40 0:00,1/1/40 0:57,3437.836
2,1/1/40 1:30,1/1/40 2:49,4762.257
3,1/1/40 4:24,1/1/40 7:19,10497.082
4,1/1/40 11:00,1/1/40 11:29,1726.034
5,1/1/40 12:35,1/1/40 15:17,9712.298
6,1/1/40 18:57,1/1/40 19:24,1618.3
7,1/1/40 20:26,1/1/40 23:06,9562.76
8,1/2/40 2:47,1/2/40 3:13,1579.589
9,1/2/40 4:14,1/2/40 6:52,9501.686
10,1/2/40 10:33,1/2/40 10:59,1561.107
11,1/2/40 11:59,1/2/40 14:37,9470.952
12,1/2/40 18:18,1/2/40 18:44,1551.387
13,1/2/40 19:44,1/2/40 22:21,9454.562
14,1/3/40 2:03,1/3/40 2:28,1547.295
15,1/3/40 3:28,1/3/40 6:05,9446.313
16,1/3/40 9:47,1/3/40 10:12,1546.551
17,1/3/40 11:12,1/3/40 13:49,9444.869
18,1/3/40 17:30,1/3/40 17:56,1548.825
19,1/3/40 18:56,1/3/40 21:33,9448.937
20,1/4/40 1:14,1/4/40 1:40,1554.821
21,1/4/40 2:40,1/4/40 5:17,9459.347
22,1/4/40 8:58,1/4/40 9:24,1564.282
23,1/4/40 10:24,1/4/40 13:02,9478.938
24,1/4/40 16:43,1/4/40 17:09,1579.776
25,1/4/40 18:10,1/4/40 20:48,9513.371
26,1/5/40 0:28,1/5/40 0:55,1605.603
27,1/5/40 1:57,1/5/40 4:36,9579.24
28,1/5/40 8:16,1/5/40 8:43,1653.536
29,1/5/40 9:47,1/5/40 12:29,9734.143
30,1/5/40 16:08,1/5/40 16:38,1775.864
31,1/5/40 17:47,1/5/40 20:41,10426.724
32,1/6/40 0:34,1/6/40 1:46,4319.41
33,1/6/40 2:41,1/6/40 4:59,8232.878
34,1/6/40 6:47,1/6/40 9:44,10650.897
35,1/6/40 13:27,1/6/40 13:56,1739.229
36,1/6/40 15:01,1/6/40 17:44,9723.264
37,1/6/40 21:24,1/6/40 21:51,1621.736
38,1/6/40 22:54,1/7/40 1:33,9564.819
39,1/7/40 5:14,1/7/40 5:40,1580.738
40,1/7/40 6:41,1/7/40 9:19,9501.709
41,1/7/40 13:01,1/7/40 13:27,1561.171
42,1/7/40 14:27,1/7/40 17:04,9470.499
43,1/7/40 20:46,1/7/40 21:12,1550.788
44,1/7/40 22:11,1/8/40 0:49,9453.979
45,1/8/40 4:30,1/8/40 4:56,1546.301
46,1/8/40 5:55,1/8/40 8:33,9445.847
47,1/8/40 12:14,1/8/40 12:40,1545.125
48,1/8/40 13:39,1/8/40 16:17,9444.551
49,1/8/40 19:58,1/8/40 20:24,1547.074
50,1/8/40 21:23,1/9/40 0:01,9448.729
51,1/9/40 3:42,1/9/40 4:08,1552.658
52,1/9/40 5:07,1/9/40 7:45,9459.317
53,1/9/40 11:26,1/9/40 11:52,1561.669
54,1/9/40 12:52,1/9/40 15:30,9478.795
55,1/9/40 19:10,1/9/40 19:36,1576.572
56,1/9/40 20:37,1/9/40 23:15,9512.786
57,1/10/40 2:56,1/10/40 3:22,1601.273
58,1/10/40 4:24,1/10/40 7:03,9576.92
59,1/10/40 10:43,1/10/40 11:10,1646.967
60,1/10/40 12:14,1/10/40 14:56,9724.075
61,1/10/40 18:35,1/10/40 19:04,1760.359
62,1/10/40 20:13,1/10/40 23:05,10335.125
63,1/11/40 2:54,1/11/40 3:44,3027.738
64,1/11/40 9:09,1/11/40 12:10,10869.563
65,1/11/40 15:53,1/11/40 16:22,1754.757
66,1/11/40 17:28,1/11/40 20:10,9735.834
67,1/11/40 23:51,1/12/40 0:18,1625.731
68,1/12/40 1:21,1/12/40 4:00,9566.935
69,1/12/40 7:41,1/12/40 8:08,1582.19
70,1/12/40 9:08,1/12/40 11:47,9501.551
71,1/12/40 15:28,1/12/40 15:54,1561.437
72,1/12/40 16:54,1/12/40 19:32,9469.742
73,1/12/40 23:13,1/12/40 23:39,1550.392
74,1/13/40 0:39,1/13/40 3:16,9453.06
75,1/13/40 6:58,1/13/40 7:23,1545.443
76,1/13/40 8:23,1/13/40 11:00,9445.028
77,1/13/40 14:42,1/13/40 15:07,1543.83
78,1/13/40 16:07,1/13/40 18:44,9443.836
79,1/13/40 22:25,1/13/40 22:51,1545.466
80,1/13/40 23:50,1/14/40 2:28,9448.14
81,1/14/40 6:09,1/14/40 6:35,1550.6
82,1/14/40 7:34,1/14/40 10:12,9458.881
83,1/14/40 13:53,1/14/40 14:19,1559.163
84,1/14/40 15:19,1/14/40 17:57,9478.219
85,1/14/40 21:38,1/14/40 22:04,1573.471
86,1/14/40 23:04,1/15/40 1:43,9511.755
87,1/15/40 5:23,1/15/40 5:50,1597.032
88,1/15/40 6:51,1/15/40 9:31,9574.153
89,1/15/40 13:10,1/15/40 13:37,1640.549
90,1/15/40 14:41,1/15/40 17:23,9713.926
91,1/15/40 21:02,1/15/40 21:31,1745.608
92,1/15/40 22:39,1/16/40 1:30,10255.671
93,1/16/40 5:16,1/16/40 5:59,2607.648
94,1/16/40 11:28,1/16/40 14:35,11205.678
95,1/16/40 18:18,1/16/40 18:48,1773.071
96,1/16/40 19:55,1/16/40 22:37,9750.295
97,1/17/40 2:18,1/17/40 2:45,1630.353
98,1/17/40 3:48,1/17/40 6:27,9569.172
