"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 01:07:14.569,1 Jan 2040 08:34:11.358,26816.789
2,1 Jan 2040 23:25:21.689,2 Jan 2040 06:18:13.125,24771.436
3,2 Jan 2040 07:27:01.391,2 Jan 2040 14:55:23.584,26902.193
4,3 Jan 2040 05:45:34.878,3 Jan 2040 12:39:55.645,24860.766
5,3 Jan 2040 13:46:57.145,3 Jan 2040 21:16:35.566,26978.421
6,4 Jan 2040 12:05:47.979,4 Jan 2040 19:01:28.766,24940.787
7,4 Jan 2040 20:06:35.645,5 Jan 2040 03:37:47.295,27071.650
8,5 Jan 2040 18:26:00.999,6 Jan 2040 01:23:20.050,25039.051
9,6 Jan 2040 02:26:23.676,6 Jan 2040 09:58:58.790,27155.114
10,7 Jan 2040 00:46:13.963,7 Jan 2040 07:45:00.450,25126.488
11,7 Jan 2040 08:45:51.474,7 Jan 2040 16:20:10.053,27258.579
12,8 Jan 2040 07:06:26.859,8 Jan 2040 14:07:00.932,25234.073
13,8 Jan 2040 15:05:28.858,8 Jan 2040 22:41:21.096,27352.238
14,9 Jan 2040 13:26:39.712,9 Jan 2040 20:28:54.915,25335.202
15,9 Jan 2040 21:24:48.272,10 Jan 2040 05:02:31.910,27463.638
16,10 Jan 2040 19:46:52.530,11 Jan 2040 02:51:04.529,25451.999
17,11 Jan 2040 03:44:09.686,11 Jan 2040 11:23:42.518,27572.832
18,12 Jan 2040 02:07:05.312,12 Jan 2040 09:13:15.020,25569.708
19,12 Jan 2040 10:03:17.158,12 Jan 2040 17:44:52.919,27695.761
20,13 Jan 2040 08:27:18.072,13 Jan 2040 15:35:38.649,25700.577
21,13 Jan 2040 16:22:18.556,14 Jan 2040 00:06:03.124,27824.568
22,14 Jan 2040 14:47:30.817,14 Jan 2040 21:58:12.677,25841.860
23,14 Jan 2040 22:41:08.792,15 Jan 2040 06:27:13.136,27964.344
24,15 Jan 2040 21:07:43.553,16 Jan 2040 04:20:58.345,25994.793
25,16 Jan 2040 04:59:40.546,16 Jan 2040 12:48:22.953,28122.407
26,17 Jan 2040 03:27:56.301,17 Jan 2040 10:44:10.330,26174.029
27,17 Jan 2040 11:18:00.269,17 Jan 2040 19:09:32.599,28292.330
28,18 Jan 2040 09:48:09.052,18 Jan 2040 17:07:42.246,26373.195
29,18 Jan 2040 17:35:38.075,19 Jan 2040 01:30:42.061,28503.986
30,19 Jan 2040 16:08:21.826,19 Jan 2040 23:32:21.773,26639.947
31,19 Jan 2040 23:52:33.634,20 Jan 2040 07:51:51.362,28757.729
32,20 Jan 2040 22:28:34.634,21 Jan 2040 06:00:29.924,27115.289
33,21 Jan 2040 06:05:34.242,21 Jan 2040 14:13:00.492,29246.250
34,22 Jan 2040 04:48:47.469,22 Jan 2040 20:34:09.473,56722.004
35,23 Jan 2040 11:09:00.358,24 Jan 2040 02:55:18.293,56777.935
36,24 Jan 2040 17:29:13.295,25 Jan 2040 09:16:26.976,56833.681
37,25 Jan 2040 23:49:26.288,26 Jan 2040 15:37:35.508,56889.220
38,27 Jan 2040 06:09:39.359,27 Jan 2040 21:58:43.915,56944.556
39,28 Jan 2040 12:29:52.498,29 Jan 2040 04:19:52.182,56999.683
40,29 Jan 2040 18:50:05.727,30 Jan 2040 10:41:00.333,57054.607

