Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1/1/40 0:00,1/1/40 3:53,13986.674
2,1/1/40 13:55,1/1/40 23:14,33504.114
3,1/2/40 1:11,1/2/40 9:53,31349.878
4,1/2/40 23:23,1/3/40 7:12,28156.57
5,1/3/40 8:58,1/3/40 17:20,30127.893
6,1/4/40 6:57,1/4/40 14:48,28279.839
7,1/4/40 16:38,1/5/40 1:30,31949.713
8,1/5/40 14:33,1/6/40 6:31,57504.386
9,1/6/40 14:30,1/7/40 0:16,35178.063
10,1/7/40 2:15,1/7/40 11:01,31564.064
11,1/8/40 0:29,1/8/40 8:19,28216.614
12,1/8/40 10:06,1/8/40 18:28,30127.641
13,1/9/40 8:05,1/9/40 15:55,28211.701
14,1/9/40 17:44,1/10/40 2:32,31671.022
15,1/10/40 15:40,1/11/40 9:57,65826.677
16,1/11/40 14:36,1/12/40 1:17,38435.604
17,1/12/40 3:18,1/12/40 12:09,31815.728
18,1/13/40 1:35,1/13/40 9:27,28284.918
19,1/13/40 11:13,1/13/40 19:35,30135.87
20,1/14/40 9:12,1/14/40 17:02,28153.902
21,1/14/40 18:51,1/15/40 3:34,31431.112
22,1/15/40 16:47,1/16/40 2:44,35822.826
23,1/16/40 7:44,1/17/40 2:16,66726.489
24,1/17/40 4:21,1/17/40 13:16,32120.647
25,1/18/40 2:41,1/18/40 10:34,28366.361
26,1/18/40 12:20,1/18/40 20:43,30149.358
27,1/19/40 10:20,1/19/40 18:09,28103.033
28,1/19/40 19:57,1/20/40 4:37,31225.781
29,1/20/40 17:54,1/21/40 3:14,33596.94
30,1/21/40 7:06,1/21/40 8:58,6704.665
31,1/21/40 11:19,1/22/40 3:13,57241.211
32,1/22/40 5:22,1/22/40 14:23,32496.868
33,1/23/40 3:46,1/23/40 11:41,28465.257
34,1/23/40 13:28,1/23/40 21:51,30165.664
35,1/24/40 11:28,1/24/40 19:16,28057.2
36,1/24/40 21:04,1/25/40 5:41,31051.059
37,1/25/40 19:00,1/26/40 3:59,32326.76
38,1/26/40 6:45,1/26/40 13:23,23867.07
39,1/26/40 14:44,1/27/40 4:07,48199.544
40,1/27/40 6:21,1/27/40 15:31,32966.232
41,1/28/40 4:51,1/28/40 12:48,28581.764
42,1/28/40 14:35,1/28/40 22:58,30186.673
43,1/29/40 12:36,1/29/40 20:23,28017.173
44,1/29/40 22:10,1/30/40 6:45,30901.634
45,1/30/40 20:07,1/31/40 0:00,13932.043
