"Time (UTCG)","x (km)","y (km)","z (km)"
27 Jun 2040 08:31:45.133,8384.993225,1773.629909,-3787.721345
27 Jun 2040 08:32:45.133,8386.607916,1929.014024,-3709.213835
27 Jun 2040 08:36:07.202,8380.492282,2449.493676,-3439.790806
27 Jun 2040 08:40:55.064,8341.207433,3181.753332,-3043.564852
27 Jun 2040 08:45:41.605,8267.088382,3897.312082,-2636.372590
27 Jun 2040 08:50:28.500,8159.058908,4597.826004,-2217.884833
27 Jun 2040 08:55:17.294,8017.747590,5284.637695,-1787.767348
27 Jun 2040 09:00:08.964,7843.850292,5957.752659,-1346.406913
27 Jun 2040 09:05:03.688,7638.595851,6615.498863,-895.346018
27 Jun 2040 09:10:00.296,7404.548885,7253.674524,-438.167846
27 Jun 2040 09:14:55.029,7147.217279,7863.594812,17.605542
27 Jun 2040 09:18:01.892,6972.425458,8237.668561,306.636896
27 Jun 2040 09:21:07.575,6790.525339,8599.684205,593.485229
27 Jun 2040 09:25:54.468,6494.754319,9140.159787,1035.287481
27 Jun 2040 09:31:16.451,6143.786301,9719.897742,1528.056642
27 Jun 2040 09:37:03.998,5745.386398,10314.669440,2055.063058
27 Jun 2040 09:43:00.579,5318.676045,10892.698770,2589.362142
27 Jun 2040 09:49:08.187,4862.843393,11456.013920,3132.444922
27 Jun 2040 09:55:28.891,4376.732749,12006.349922,3685.845103
27 Jun 2040 10:02:04.771,3858.994988,12545.046074,4251.002434
27 Jun 2040 10:08:57.969,3308.087237,13073.128286,4829.304969
27 Jun 2040 10:16:10.720,2722.285312,13591.349404,5422.102712
27 Jun 2040 10:23:45.365,2099.713468,14100.201268,6030.697123
27 Jun 2040 10:31:51.719,1428.183892,14607.324514,6665.816225
27 Jun 2040 10:40:34.342,702.738329,15112.936888,7330.347089
27 Jun 2040 10:49:57.425,-80.794633,15616.109101,8026.150067
27 Jun 2040 11:00:05.648,-926.903822,16115.670026,8755.139618
27 Jun 2040 11:11:04.236,-1840.396763,16610.175238,9519.268940
27 Jun 2040 11:22:58.895,-2826.224291,17097.792408,10320.373212
27 Jun 2040 11:35:55.826,-3889.407997,17576.276532,11160.116316
27 Jun 2040 11:50:01.622,-5034.807048,18042.895504,12039.822253
27 Jun 2040 12:05:23.228,-6266.980616,18494.437883,12960.402098
27 Jun 2040 12:21:50.379,-7567.172429,18920.183359,13905.876632
27 Jun 2040 12:39:22.330,-8929.594211,19316.033345,14870.910689
27 Jun 2040 12:58:01.055,-10351.992464,19679.638290,15853.041857
27 Jun 2040 13:17:47.731,-11831.042364,20008.745074,16849.257231
27 Jun 2040 13:38:42.738,-13362.482738,20301.333297,17856.138636
27 Jun 2040 14:00:45.388,-14940.931804,20555.667412,18869.786112
27 Jun 2040 14:23:53.504,-16559.569889,20770.355672,19885.670417
27 Jun 2040 14:48:02.722,-18209.572070,20944.426329,20898.354348
27 Jun 2040 15:13:05.327,-19879.130603,21077.447573,21901.006770
27 Jun 2040 15:38:47.815,-21551.277446,21169.711709,22884.277739
27 Jun 2040 16:04:45.156,-23198.594307,21222.604328,23833.525720
27 Jun 2040 16:23:39.588,-24373.758504,21238.270839,24499.423123
27 Jun 2040 16:42:29.396,-25524.123259,21236.425070,25142.486584
27 Jun 2040 17:08:21.877,-27073.469119,21207.901960,25995.276118
27 Jun 2040 17:37:51.859,-28797.398927,21142.159795,26926.779760
27 Jun 2040 18:10:57.170,-30679.787082,21030.826248,27923.690526
27 Jun 2040 18:47:29.266,-32698.530548,20867.001071,28970.107351
27 Jun 2040 19:27:31.356,-34842.653677,20644.110872,30056.525502
27 Jun 2040 20:11:11.236,-37104.747008,20355.751526,31175.523029
27 Jun 2040 20:58:39.711,-39479.100686,19995.557936,32320.649200
27 Jun 2040 21:50:10.033,-41960.871317,19557.103216,33485.906501
27 Jun 2040 22:45:57.218,-44545.232016,19033.894009,34665.272365
27 Jun 2040 23:46:17.903,-47227.023403,18419.349830,35852.493161
28 Jun 2040 00:51:30.177,-50000.400688,17706.815420,37040.892857
28 Jun 2040 02:01:53.497,-52858.557490,16889.584014,38223.230206
28 Jun 2040 03:17:48.716,-55793.524301,15960.917148,39391.595936
28 Jun 2040 04:39:36.931,-58795.245482,14914.334120,40537.043868
28 Jun 2040 06:07:40.564,-61852.124756,13743.468402,41649.822764
28 Jun 2040 07:42:25.221,-64951.750682,12441.698518,42719.593586
28 Jun 2040 09:24:15.513,-68078.233663,11003.169037,43734.460429
