"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 00:00:00.000,1 Jan 2040 00:40:07.508,2407.508
2,1 Jan 2040 01:25:59.096,6 Jan 2040 19:26:13.544,496814.448
3,6 Jan 2040 19:33:17.346,8 Jan 2040 14:06:59.385,153222.039
4,8 Jan 2040 15:05:28.147,9 Jan 2040 20:28:53.174,105805.027
5,9 Jan 2040 21:24:47.615,11 Jan 2040 01:50:10.853,102323.239
6,11 Jan 2040 03:05:27.455,16 Jan 2040 09:55:33.120,456605.665
7,16 Jan 2040 10:47:46.129,16 Jan 2040 21:11:16.904,37410.775
8,16 Jan 2040 21:59:31.812,17 Jan 2040 04:50:43.763,24671.951
9,17 Jan 2040 05:38:54.048,17 Jan 2040 12:30:10.810,24676.762
10,17 Jan 2040 13:18:16.221,17 Jan 2040 20:09:37.581,24681.360
11,17 Jan 2040 20:57:38.399,18 Jan 2040 03:49:04.547,24686.148
12,18 Jan 2040 04:37:00.583,18 Jan 2040 11:28:31.435,24690.852
13,18 Jan 2040 12:16:22.592,18 Jan 2040 19:07:58.417,24695.825
14,18 Jan 2040 19:55:44.906,19 Jan 2040 02:47:25.395,24700.488
15,19 Jan 2040 03:35:06.958,19 Jan 2040 10:26:52.186,24705.228
16,19 Jan 2040 11:14:28.914,19 Jan 2040 18:06:19.383,24710.469
17,19 Jan 2040 18:53:51.280,20 Jan 2040 01:45:46.297,24715.018
18,20 Jan 2040 02:33:13.196,20 Jan 2040 09:25:13.126,24719.930
19,20 Jan 2040 10:12:35.177,20 Jan 2040 17:04:40.444,24725.267
20,20 Jan 2040 17:51:57.461,21 Jan 2040 00:44:07.303,24729.842
21,21 Jan 2040 01:31:19.320,21 Jan 2040 08:23:34.262,24734.942
22,21 Jan 2040 09:10:41.345,21 Jan 2040 16:03:01.557,24740.212
23,21 Jan 2040 16:50:03.447,21 Jan 2040 23:42:28.447,24745.000
24,22 Jan 2040 00:29:25.355,22 Jan 2040 07:21:55.551,24750.196
25,22 Jan 2040 08:08:47.385,22 Jan 2040 15:01:22.710,24755.325
26,22 Jan 2040 15:48:09.284,22 Jan 2040 22:40:49.757,24760.474
27,22 Jan 2040 23:27:31.327,23 Jan 2040 06:20:16.929,24765.602
28,23 Jan 2040 07:06:53.271,23 Jan 2040 13:59:43.946,24770.676
29,23 Jan 2040 14:46:15.047,23 Jan 2040 21:39:11.220,24776.173
30,23 Jan 2040 22:25:37.205,24 Jan 2040 05:18:38.360,24781.155
31,24 Jan 2040 06:04:59.003,24 Jan 2040 12:58:05.339,24786.336
32,24 Jan 2040 13:44:20.770,24 Jan 2040 20:37:32.802,24792.033
33,24 Jan 2040 21:23:42.920,25 Jan 2040 04:16:59.867,24796.947
34,25 Jan 2040 05:03:04.612,25 Jan 2040 11:56:26.941,24802.329
35,25 Jan 2040 12:42:26.421,25 Jan 2040 19:35:54.457,24808.036
36,25 Jan 2040 20:21:48.440,26 Jan 2040 03:13:53.532,24725.092
37,26 Jan 2040 03:51:51.345,26 Jan 2040 15:43:13.059,42681.714
38,26 Jan 2040 16:19:03.224,27 Jan 2040 02:24:18.480,36315.256

