Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1/1/40 0:00,1/6/40 4:05,446712.739
2,1/6/40 6:34,1/6/40 9:00,8761.912
3,1/6/40 12:15,1/8/40 8:19,158650.523
4,1/8/40 10:06,1/9/40 15:55,107349.462
5,1/9/40 17:44,1/11/40 1:47,115346.179
6,1/11/40 3:20,1/16/40 18:48,487696.546
7,1/16/40 19:55,1/17/40 2:45,24647.739
8,1/17/40 3:48,1/17/40 10:35,24427.114
9,1/17/40 11:36,1/17/40 18:21,24349.367
10,1/17/40 19:21,1/18/40 2:07,24313.094
11,1/18/40 3:06,1/18/40 9:51,24293.953
12,1/18/40 10:50,1/18/40 17:35,24282.798
13,1/18/40 18:34,1/19/40 1:19,24277.542
14,1/19/40 2:18,1/19/40 9:03,24276.818
15,1/19/40 10:02,1/19/40 16:47,24281.135
16,1/19/40 17:47,1/20/40 0:31,24293.332
17,1/20/40 1:32,1/20/40 8:17,24320.766
18,1/20/40 9:18,1/20/40 16:05,24386.072
19,1/20/40 17:08,1/20/40 23:58,24580.919
20,1/21/40 1:05,1/21/40 8:18,25986.338
21,1/21/40 13:42,1/21/40 21:14,27077.194
22,1/21/40 22:21,1/22/40 5:12,24677.752
23,1/22/40 6:15,1/22/40 13:02,24437.255
24,1/22/40 14:03,1/22/40 20:49,24354.936
25,1/22/40 21:49,1/23/40 4:34,24317.059
26,1/23/40 5:33,1/23/40 12:18,24297.078
27,1/23/40 13:18,1/23/40 20:02,24285.538
28,1/23/40 21:02,1/24/40 3:46,24279.95
29,1/24/40 4:45,1/24/40 11:30,24278.847
30,1/24/40 12:29,1/24/40 19:14,24282.858
31,1/24/40 20:14,1/25/40 2:59,24294.317
32,1/25/40 3:59,1/25/40 10:44,24320.315
33,1/25/40 11:46,1/25/40 18:32,24381.823
34,1/25/40 19:35,1/26/40 2:24,24560.657
35,1/26/40 3:24,1/27/40 2:24,82759.516
