"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 00:00:00.000,1 Jan 2040 02:53:43.470,10423.470
2,1 Jan 2040 06:49:49.827,1 Jan 2040 10:33:16.065,13406.238
3,1 Jan 2040 14:29:12.516,1 Jan 2040 18:12:48.649,13416.133
4,1 Jan 2040 22:08:35.319,2 Jan 2040 01:52:21.234,13425.915
5,2 Jan 2040 05:47:58.366,2 Jan 2040 09:31:53.805,13435.439
6,2 Jan 2040 13:27:21.024,2 Jan 2040 17:11:26.374,13445.350
7,2 Jan 2040 21:06:43.861,3 Jan 2040 00:50:58.932,13455.071
8,3 Jan 2040 04:46:06.702,3 Jan 2040 08:30:31.479,13464.777
9,3 Jan 2040 12:25:29.441,3 Jan 2040 16:10:04.028,13474.586
10,3 Jan 2040 20:04:52.248,3 Jan 2040 23:49:36.562,13484.314
11,4 Jan 2040 03:44:14.897,4 Jan 2040 07:29:09.095,13494.198
12,4 Jan 2040 11:23:37.772,4 Jan 2040 15:08:41.617,13503.845
13,4 Jan 2040 19:03:00.462,4 Jan 2040 22:48:14.129,13513.667
14,5 Jan 2040 02:42:23.016,5 Jan 2040 06:27:46.642,13523.626
15,5 Jan 2040 10:21:45.975,5 Jan 2040 14:07:19.141,13533.166
16,5 Jan 2040 18:01:08.519,5 Jan 2040 21:46:51.638,13543.120
17,6 Jan 2040 01:40:31.079,6 Jan 2040 05:26:24.125,13553.046
18,6 Jan 2040 09:19:53.993,6 Jan 2040 13:05:56.607,13562.614
19,6 Jan 2040 16:59:16.440,6 Jan 2040 20:45:29.080,13572.640
20,7 Jan 2040 00:38:39.050,7 Jan 2040 04:25:01.544,13582.494
21,7 Jan 2040 08:18:01.795,7 Jan 2040 12:04:34.007,13592.212
22,7 Jan 2040 15:57:24.262,7 Jan 2040 19:44:06.459,13602.197
23,7 Jan 2040 23:36:46.883,8 Jan 2040 03:23:38.907,13612.024
24,8 Jan 2040 07:16:09.420,8 Jan 2040 11:03:11.346,13621.926
25,8 Jan 2040 14:55:32.004,8 Jan 2040 18:42:43.775,13631.770
26,8 Jan 2040 22:34:54.558,9 Jan 2040 02:22:16.205,13641.647
27,9 Jan 2040 06:14:16.941,9 Jan 2040 10:01:48.622,13651.682
28,9 Jan 2040 13:53:39.652,9 Jan 2040 17:41:21.037,13661.385
29,9 Jan 2040 21:33:02.069,10 Jan 2040 01:20:53.443,13671.374
30,10 Jan 2040 05:12:24.406,10 Jan 2040 09:00:25.837,13681.431
31,10 Jan 2040 12:51:47.153,10 Jan 2040 16:39:58.234,13691.081
32,10 Jan 2040 20:31:09.435,11 Jan 2040 00:19:30.619,13701.184
33,11 Jan 2040 04:10:31.803,11 Jan 2040 07:59:03.000,13711.197
34,11 Jan 2040 11:49:54.451,11 Jan 2040 15:38:35.369,13720.918
35,11 Jan 2040 19:29:16.689,11 Jan 2040 23:18:07.735,13731.046
36,12 Jan 2040 03:08:39.098,12 Jan 2040 06:57:40.099,13741.002
37,12 Jan 2040 10:48:01.550,12 Jan 2040 14:37:12.451,13750.901
38,12 Jan 2040 18:27:23.850,12 Jan 2040 22:16:44.800,13760.950
39,13 Jan 2040 02:06:46.246,13 Jan 2040 05:56:17.141,13770.895
40,13 Jan 2040 09:46:08.500,13 Jan 2040 13:35:49.476,13780.975
41,13 Jan 2040 17:25:30.938,13 Jan 2040 21:15:21.803,13790.865
42,14 Jan 2040 01:04:53.235,14 Jan 2040 04:54:54.121,13800.886
43,14 Jan 2040 08:44:15.384,14 Jan 2040 12:34:26.440,13811.056
44,14 Jan 2040 16:23:37.918,14 Jan 2040 20:13:58.749,13820.831
45,15 Jan 2040 00:03:00.070,15 Jan 2040 03:53:31.052,13830.982
46,15 Jan 2040 07:42:22.213,15 Jan 2040 11:33:03.348,13841.135
47,15 Jan 2040 15:21:44.729,15 Jan 2040 19:12:35.634,13850.906
48,15 Jan 2040 23:01:06.776,16 Jan 2040 02:52:07.922,13861.146
49,16 Jan 2040 06:40:28.961,16 Jan 2040 10:31:40.199,13871.238
50,16 Jan 2040 14:19:51.328,16 Jan 2040 18:11:12.472,13881.143
51,16 Jan 2040 21:59:13.379,17 Jan 2040 01:50:44.737,13891.358
52,17 Jan 2040 05:38:35.595,17 Jan 2040 09:30:16.992,13901.397
53,17 Jan 2040 13:17:57.754,17 Jan 2040 17:09:49.249,13911.496
54,17 Jan 2040 20:57:19.911,18 Jan 2040 00:49:21.495,13921.584
55,18 Jan 2040 04:36:42.073,18 Jan 2040 08:28:53.737,13931.665
56,18 Jan 2040 12:16:04.067,18 Jan 2040 16:08:25.973,13941.906
57,18 Jan 2040 19:55:26.358,18 Jan 2040 23:47:58.201,13951.843
58,19 Jan 2040 03:34:48.397,19 Jan 2040 07:27:30.424,13962.027
59,19 Jan 2040 11:14:10.332,19 Jan 2040 15:07:02.638,13972.306
60,19 Jan 2040 18:53:32.676,19 Jan 2040 22:46:34.852,13982.175
61,20 Jan 2040 02:32:54.577,20 Jan 2040 06:26:07.052,13992.475
62,20 Jan 2040 10:12:16.538,20 Jan 2040 14:05:39.256,14002.718
63,20 Jan 2040 17:51:38.804,20 Jan 2040 21:45:11.448,14012.644
64,21 Jan 2040 01:31:00.643,21 Jan 2040 05:24:43.632,14022.990
65,21 Jan 2040 09:10:22.650,21 Jan 2040 13:04:15.817,14033.167
66,21 Jan 2040 16:49:44.731,21 Jan 2040 20:43:47.993,14043.262
67,21 Jan 2040 23:42:05.351,21 Jan 2040 23:42:15.146,9.795
68,22 Jan 2040 00:29:06.623,22 Jan 2040 04:23:20.162,14053.539
