Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1/1/40 4:24,1/1/40 8:06,13319.6
2,1/1/40 12:35,1/1/40 16:07,12714.986
3,1/1/40 20:26,1/1/40 23:57,12635.78
4,1/2/40 4:14,1/2/40 7:44,12611.461
5,1/2/40 11:59,1/2/40 15:29,12601.902
6,1/2/40 19:44,1/2/40 23:14,12597.518
7,1/3/40 3:28,1/3/40 6:58,12594.965
8,1/3/40 11:12,1/3/40 14:42,12594.113
9,1/3/40 18:56,1/3/40 22:25,12593.934
10,1/4/40 2:40,1/4/40 6:10,12594.832
11,1/4/40 10:24,1/4/40 13:54,12598.146
12,1/4/40 18:10,1/4/40 21:40,12606.381
13,1/5/40 1:57,1/5/40 5:27,12628.864
14,1/5/40 9:47,1/5/40 13:19,12703.34
15,1/5/40 17:47,1/5/40 21:27,13201.936
16,1/6/40 6:47,1/6/40 10:31,13459.017
17,1/6/40 15:01,1/6/40 18:34,12724.725
18,1/6/40 22:53,1/7/40 2:24,12639.353
19,1/7/40 6:41,1/7/40 10:11,12614.011
20,1/7/40 14:27,1/7/40 17:57,12604.391
21,1/7/40 22:11,1/8/40 1:41,12600.071
22,1/8/40 5:55,1/8/40 9:25,12597.714
23,1/8/40 13:39,1/8/40 17:09,12597.047
24,1/8/40 21:23,1/9/40 0:53,12597.01
25,1/9/40 5:07,1/9/40 8:37,12598.129
26,1/9/40 12:52,1/9/40 16:22,12601.454
27,1/9/40 20:37,1/10/40 0:07,12609.552
28,1/10/40 4:24,1/10/40 7:54,12631.108
29,1/10/40 12:14,1/10/40 15:46,12700.263
30,1/10/40 20:13,1/10/40 23:52,13126.806
31,1/11/40 9:09,1/11/40 12:56,13659.936
32,1/11/40 17:28,1/11/40 21:00,12735.201
33,1/12/40 1:21,1/12/40 4:51,12642.51
34,1/12/40 9:08,1/12/40 12:38,12615.978
35,1/12/40 16:54,1/12/40 20:24,12606.243
36,1/13/40 0:39,1/13/40 4:09,12601.984
37,1/13/40 8:23,1/13/40 11:53,12599.853
38,1/13/40 16:07,1/13/40 19:37,12599.332
39,1/13/40 23:50,1/14/40 3:20,12599.464
40,1/14/40 7:34,1/14/40 11:04,12600.814
41,1/14/40 15:19,1/14/40 18:49,12604.141
42,1/14/40 23:04,1/15/40 2:34,12612.144
43,1/15/40 6:51,1/15/40 10:22,12632.803
44,1/15/40 14:41,1/15/40 18:12,12697.002
45,1/15/40 22:39,1/16/40 2:17,13063.829
46,1/16/40 11:28,1/16/40 15:21,13974.373
47,1/16/40 19:55,1/16/40 23:27,12746.701
48,1/17/40 3:48,1/17/40 7:18,12645.262
49,1/17/40 11:35,1/17/40 15:06,12617.384
50,1/17/40 19:21,1/17/40 22:51,12607.478
51,1/18/40 3:06,1/18/40 6:36,12603.251
52,1/18/40 10:50,1/18/40 14:20,12601.355
53,1/18/40 18:34,1/18/40 22:04,12600.983
54,1/19/40 2:18,1/19/40 5:48,12601.289
55,1/19/40 10:02,1/19/40 13:32,12602.858
56,1/19/40 17:46,1/19/40 21:16,12606.204
57,1/20/40 1:32,1/20/40 5:02,12614.133
58,1/20/40 9:18,1/20/40 12:49,12633.928
59,1/20/40 17:08,1/20/40 20:39,12693.572
60,1/21/40 1:05,1/21/40 4:42,13010.68
61,1/21/40 13:43,1/21/40 17:45,14549.222
62,1/21/40 22:21,1/22/40 1:54,12759.541
63,1/22/40 6:15,1/22/40 9:45,12647.668
64,1/22/40 14:03,1/22/40 17:33,12618.242
65,1/22/40 21:49,1/23/40 1:19,12608.076
66,1/23/40 5:33,1/23/40 9:03,12603.887
67,1/23/40 13:17,1/23/40 16:47,12602.224
68,1/23/40 21:01,1/24/40 0:31,12601.965
69,1/24/40 4:45,1/24/40 8:15,12602.48
70,1/24/40 12:29,1/24/40 15:59,12604.258
71,1/24/40 20:14,1/24/40 23:44,12607.626
72,1/25/40 3:59,1/25/40 7:29,12615.506
73,1/25/40 11:45,1/25/40 15:16,12634.484
74,1/25/40 19:35,1/25/40 23:06,12689.938
75,1/26/40 3:31,1/26/40 7:07,12965.483
76,1/26/40 12:32,1/26/40 14:53,8427.804
77,1/26/40 15:34,1/26/40 20:09,16462.85
78,1/27/40 0:47,1/27/40 4:20,12774.168
79,1/27/40 8:42,1/27/40 12:12,12649.763
80,1/27/40 16:30,1/27/40 20:00,12618.547
81,1/28/40 0:16,1/28/40 3:46,12608.058
82,1/28/40 8:01,1/28/40 11:31,12603.879
83,1/28/40 15:45,1/28/40 19:15,12602.446
84,1/28/40 23:29,1/29/40 2:59,12602.293
85,1/29/40 7:13,1/29/40 10:43,12603.017
86,1/29/40 14:57,1/29/40 18:27,12604.994
87,1/29/40 22:41,1/30/40 2:11,12608.404
88,1/30/40 6:26,1/30/40 9:56,12616.249
89,1/30/40 14:12,1/30/40 17:43,12634.439
90,1/30/40 22:01,1/31/40 0:00,7084.811
