Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1/1/40 0:00,1/1/40 2:49,10175.102
2,1/1/40 4:24,1/1/40 6:05,6060.101
3,1/1/40 9:35,1/1/40 11:29,6852.503
4,1/1/40 12:35,1/1/40 14:04,5326.773
5,1/1/40 17:36,1/1/40 19:24,6499.649
6,1/1/40 20:26,1/1/40 21:53,5183.687
7,1/2/40 1:27,1/2/40 3:13,6387.252
8,1/2/40 4:14,1/2/40 5:39,5125.124
9,1/2/40 9:14,1/2/40 10:59,6336.023
10,1/2/40 11:59,1/2/40 13:24,5096.559
11,1/2/40 16:59,1/2/40 18:44,6309.996
12,1/2/40 19:44,1/2/40 21:09,5082.622
13,1/3/40 0:44,1/3/40 2:29,6298.259
14,1/3/40 3:28,1/3/40 4:53,5077.327
15,1/3/40 8:28,1/3/40 10:12,6295.491
16,1/3/40 11:12,1/3/40 12:36,5079.335
17,1/3/40 16:11,1/3/40 17:56,6300.234
18,1/3/40 18:56,1/3/40 20:20,5087.477
19,1/3/40 23:55,1/4/40 1:40,6313.031
20,1/4/40 2:40,1/4/40 4:05,5102.596
21,1/4/40 7:39,1/4/40 9:24,6334.53
22,1/4/40 10:24,1/4/40 11:50,5127.41
23,1/4/40 15:23,1/4/40 17:09,6369.502
24,1/4/40 18:10,1/4/40 19:36,5167.241
25,1/4/40 23:08,1/5/40 0:55,6427.658
26,1/5/40 1:57,1/5/40 3:24,5236.46
27,1/5/40 6:54,1/5/40 8:43,6535.805
28,1/5/40 9:47,1/5/40 11:17,5380.456
29,1/5/40 14:44,1/5/40 16:38,6806.905
30,1/5/40 17:47,1/5/40 19:26,5889.952
31,1/5/40 22:49,1/6/40 1:46,10608.306
32,1/6/40 2:41,1/6/40 4:59,8256.71
33,1/6/40 6:47,1/6/40 8:30,6207.613
34,1/6/40 12:01,1/6/40 13:56,6903.268
35,1/6/40 15:02,1/6/40 16:31,5339.785
36,1/6/40 20:03,1/6/40 21:51,6513.689
37,1/6/40 22:54,1/7/40 0:20,5187.439
38,1/7/40 3:54,1/7/40 5:40,6393.767
39,1/7/40 6:41,1/7/40 8:06,5126.251
40,1/7/40 11:41,1/7/40 13:27,6339.26
41,1/7/40 14:27,1/7/40 15:52,5096.632
42,1/7/40 19:26,1/7/40 21:12,6311.323
43,1/7/40 22:11,1/7/40 23:36,5082.05
44,1/8/40 3:11,1/8/40 4:56,6298.246
