"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 00:00:00.000,1 Jan 2040 05:58:24.035,21504.035
2,1 Jan 2040 07:30:01.163,1 Jan 2040 13:37:50.785,22069.622
3,1 Jan 2040 15:08:34.239,1 Jan 2040 21:17:16.933,22122.694
4,1 Jan 2040 22:47:06.482,2 Jan 2040 04:56:43.567,22177.085
5,2 Jan 2040 06:25:37.860,2 Jan 2040 12:36:09.734,22231.873
6,2 Jan 2040 14:04:08.303,2 Jan 2040 20:15:36.018,22287.715
7,2 Jan 2040 21:42:37.759,3 Jan 2040 03:55:02.606,22344.847
8,3 Jan 2040 05:21:06.154,3 Jan 2040 11:34:28.818,22402.664
9,3 Jan 2040 12:59:33.414,3 Jan 2040 19:13:55.234,22461.820
10,3 Jan 2040 20:37:59.458,4 Jan 2040 02:53:21.677,22522.219
11,4 Jan 2040 04:16:24.179,4 Jan 2040 10:32:48.050,22583.871
12,4 Jan 2040 11:54:47.482,4 Jan 2040 18:12:14.522,22647.040
13,4 Jan 2040 19:33:09.228,5 Jan 2040 01:51:40.833,22711.606
14,5 Jan 2040 03:11:29.291,5 Jan 2040 09:31:07.427,22778.136
15,5 Jan 2040 10:49:47.493,5 Jan 2040 17:10:33.864,22846.371
16,5 Jan 2040 18:28:03.642,6 Jan 2040 00:50:00.148,22916.506
17,6 Jan 2040 02:06:17.521,6 Jan 2040 08:29:26.914,22989.393
18,6 Jan 2040 09:44:28.856,6 Jan 2040 16:08:53.279,23064.423
19,6 Jan 2040 17:22:37.307,6 Jan 2040 23:48:19.660,23142.352
20,7 Jan 2040 01:00:42.489,7 Jan 2040 07:27:46.465,23223.977
21,7 Jan 2040 08:38:43.883,7 Jan 2040 15:07:12.812,23308.929
22,7 Jan 2040 16:16:40.840,7 Jan 2040 22:46:39.341,23398.501
23,7 Jan 2040 23:54:32.520,8 Jan 2040 06:26:06.041,23493.521
24,8 Jan 2040 07:32:17.750,8 Jan 2040 14:05:32.489,23594.739
25,8 Jan 2040 15:09:54.872,8 Jan 2040 21:44:59.122,23704.250
26,8 Jan 2040 22:47:21.391,9 Jan 2040 05:24:25.669,23824.279
27,9 Jan 2040 06:24:33.183,9 Jan 2040 13:03:52.322,23959.139
28,9 Jan 2040 14:01:22.494,9 Jan 2040 20:43:18.962,24116.468
29,9 Jan 2040 21:37:30.870,10 Jan 2040 04:22:45.418,24314.548
30,10 Jan 2040 05:12:26.976,10 Jan 2040 12:02:12.285,24585.308
31,10 Jan 2040 12:51:49.719,10 Jan 2040 19:41:38.862,24589.143
32,10 Jan 2040 20:31:11.997,11 Jan 2040 03:21:05.356,24593.358
33,11 Jan 2040 04:10:34.363,11 Jan 2040 11:00:32.340,24597.976
34,11 Jan 2040 11:49:57.006,11 Jan 2040 18:39:58.859,24601.853
35,11 Jan 2040 19:29:19.237,12 Jan 2040 02:19:25.488,24606.251
36,12 Jan 2040 03:08:41.646,12 Jan 2040 09:58:52.439,24610.793
37,12 Jan 2040 10:48:04.091,12 Jan 2040 17:38:18.994,24614.903
38,12 Jan 2040 18:27:26.392,13 Jan 2040 01:17:45.764,24619.373
39,13 Jan 2040 02:06:48.784,13 Jan 2040 08:57:12.568,24623.784
40,13 Jan 2040 09:46:11.034,13 Jan 2040 16:36:39.286,24628.252
41,13 Jan 2040 17:25:33.469,14 Jan 2040 00:16:06.112,24632.643
42,14 Jan 2040 01:04:55.762,14 Jan 2040 07:55:32.783,24637.021
43,14 Jan 2040 08:44:17.904,14 Jan 2040 15:34:59.727,24641.823
44,14 Jan 2040 16:23:40.437,14 Jan 2040 23:14:26.522,24646.085
45,15 Jan 2040 00:03:02.585,15 Jan 2040 06:53:53.158,24650.573
46,15 Jan 2040 07:42:24.722,15 Jan 2040 14:33:20.278,24655.556
47,15 Jan 2040 15:21:47.234,15 Jan 2040 22:12:47.001,24659.767
