Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1/1/40 6:34,1/1/40 10:16,13351.864
2,1/1/40 14:28,1/1/40 18:17,13747.265
3,1/1/40 22:16,1/2/40 2:08,13935.574
4,1/2/40 6:02,1/2/40 9:56,14044.305
5,1/2/40 13:46,1/2/40 17:41,14112.13
6,1/2/40 21:30,1/3/40 1:26,14154.653
7,1/3/40 5:14,1/3/40 9:10,14179.158
8,1/3/40 12:58,1/3/40 16:54,14188.769
9,1/3/40 20:42,1/4/40 0:38,14184.409
10,1/4/40 4:26,1/4/40 8:22,14164.813
11,1/4/40 12:11,1/4/40 16:06,14125.93
12,1/4/40 19:57,1/4/40 23:51,14059.234
13,1/5/40 3:45,1/5/40 7:38,13944.993
14,1/5/40 11:39,1/5/40 15:28,13731.449
15,1/5/40 19:51,1/5/40 23:32,13253.26
16,1/6/40 9:00,1/6/40 12:42,13351.389
17,1/6/40 16:55,1/6/40 20:44,13760.786
18,1/7/40 0:43,1/7/40 4:36,13952.038
19,1/7/40 8:29,1/7/40 12:23,14061.022
20,1/7/40 16:13,1/7/40 20:09,14128.18
21,1/7/40 23:57,1/8/40 3:54,14169.668
22,1/8/40 7:41,1/8/40 11:38,14192.967
23,1/8/40 15:25,1/8/40 19:22,14201.286
24,1/8/40 23:09,1/9/40 3:05,14195.579
25,1/9/40 6:53,1/9/40 10:49,14174.608
26,1/9/40 14:38,1/9/40 18:34,14134.443
27,1/9/40 22:24,1/10/40 2:19,14066.674
28,1/10/40 6:12,1/10/40 10:05,13952.145
29,1/10/40 14:05,1/10/40 17:54,13741.169
30,1/10/40 22:16,1/11/40 1:57,13271.109
31,1/11/40 11:25,1/11/40 15:08,13346.641
32,1/11/40 19:22,1/11/40 23:11,13771.743
33,1/12/40 3:10,1/12/40 7:03,13966.432
34,1/12/40 10:56,1/12/40 14:51,14075.858
35,1/12/40 18:41,1/12/40 22:36,14142.428
36,1/13/40 2:25,1/13/40 6:21,14182.976
37,1/13/40 10:09,1/13/40 14:05,14205.124
38,1/13/40 17:52,1/13/40 21:49,14212.185
39,1/14/40 1:36,1/14/40 5:33,14205.219
40,1/14/40 9:20,1/14/40 13:17,14182.964
41,1/14/40 17:05,1/14/40 21:01,14141.599
42,1/15/40 0:51,1/15/40 4:46,14072.93
43,1/15/40 8:39,1/15/40 12:32,13958.343
44,1/15/40 16:32,1/15/40 20:21,13750.357
45,1/16/40 0:40,1/16/40 4:22,13291.931
46,1/16/40 13:51,1/16/40 17:33,13337.816
47,1/16/40 21:49,1/17/40 1:38,13780.239
48,1/17/40 5:37,1/17/40 9:30,13978.838
49,1/17/40 13:23,1/17/40 17:18,14088.855
50,1/17/40 21:08,1/18/40 1:04,14154.944
51,1/18/40 4:52,1/18/40 8:49,14194.571
52,1/18/40 12:36,1/18/40 16:33,14215.618
53,1/18/40 20:20,1/19/40 0:17,14221.487
54,1/19/40 4:04,1/19/40 8:00,14213.285
55,1/19/40 11:48,1/19/40 15:44,14189.815
56,1/19/40 19:33,1/19/40 23:28,14147.366
57,1/20/40 3:19,1/20/40 7:13,14077.904
58,1/20/40 11:07,1/20/40 14:59,13963.46
59,1/20/40 18:59,1/20/40 22:48,13758.721
60,1/21/40 3:05,1/21/40 6:47,13314.124
61,1/21/40 16:16,1/21/40 19:58,13325.321
62,1/22/40 0:15,1/22/40 4:05,13786.38
63,1/22/40 8:04,1/22/40 11:57,13989.35
64,1/22/40 15:50,1/22/40 19:45,14100.109
65,1/22/40 23:35,1/23/40 3:31,14165.741
66,1/23/40 7:19,1/23/40 11:16,14204.513
67,1/23/40 15:03,1/23/40 19:00,14224.459
68,1/23/40 22:47,1/24/40 2:44,14229.163
69,1/24/40 6:31,1/24/40 10:28,14219.786
70,1/24/40 14:15,1/24/40 18:12,14195.134
71,1/24/40 22:00,1/25/40 1:56,14151.668
72,1/25/40 5:46,1/25/40 9:41,14081.516
73,1/25/40 13:34,1/25/40 17:27,13967.354
74,1/25/40 21:26,1/26/40 1:15,13766.063
75,1/26/40 5:30,1/26/40 9:13,13336.475
76,1/26/40 18:40,1/26/40 22:22,13309.897
77,1/27/40 2:42,1/27/40 6:32,13790.273
78,1/27/40 10:31,1/27/40 14:24,13998.057
79,1/27/40 18:17,1/27/40 22:13,14109.654
80,1/28/40 2:02,1/28/40 5:59,14174.902
81,1/28/40 9:47,1/28/40 13:44,14212.802
82,1/28/40 17:31,1/28/40 21:28,14231.685
83,1/29/40 1:14,1/29/40 5:12,14235.237
84,1/29/40 8:58,1/29/40 12:55,14224.683
85,1/29/40 16:43,1/29/40 20:39,14198.91
86,1/30/40 0:27,1/30/40 4:23,14154.467
87,1/30/40 8:13,1/30/40 12:08,14083.697
88,1/30/40 16:01,1/30/40 19:54,13969.921
89,1/30/40 23:52,1/31/40 0:00,422.763
