"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 00:00:00.000,1 Jan 2040 01:44:51.788,6291.788
2,1 Jan 2040 05:31:32.588,1 Jan 2040 05:58:16.443,1603.855
3,1 Jan 2040 06:49:52.285,1 Jan 2040 09:24:16.466,9264.182
4,1 Jan 2040 13:10:57.106,1 Jan 2040 13:37:42.652,1605.546
5,1 Jan 2040 14:29:14.991,1 Jan 2040 17:03:41.139,9266.148
6,1 Jan 2040 20:50:21.617,1 Jan 2040 21:17:08.783,1607.166
7,1 Jan 2040 22:08:37.807,2 Jan 2040 00:43:05.809,9268.002
8,2 Jan 2040 04:29:46.129,2 Jan 2040 04:56:35.397,1609.268
9,2 Jan 2040 05:48:00.870,2 Jan 2040 08:22:30.478,9269.608
10,2 Jan 2040 12:09:10.645,2 Jan 2040 12:36:01.550,1610.906
11,2 Jan 2040 13:27:23.542,2 Jan 2040 16:01:55.141,9271.599
12,2 Jan 2040 19:48:35.149,2 Jan 2040 20:15:27.815,1612.666
13,2 Jan 2040 21:06:46.394,2 Jan 2040 23:41:19.812,9273.417
14,3 Jan 2040 03:27:59.662,3 Jan 2040 03:54:54.386,1614.724
15,3 Jan 2040 04:46:09.250,3 Jan 2040 07:20:44.471,9275.221
16,3 Jan 2040 11:07:24.164,3 Jan 2040 11:34:20.582,1616.418
17,3 Jan 2040 12:25:32.007,3 Jan 2040 15:00:09.138,9277.131
18,3 Jan 2040 18:46:48.670,3 Jan 2040 19:13:46.981,1618.311
19,3 Jan 2040 20:04:54.828,3 Jan 2040 22:39:33.801,9278.973
20,4 Jan 2040 02:26:13.174,4 Jan 2040 02:53:13.407,1620.233
21,4 Jan 2040 03:44:17.493,4 Jan 2040 06:18:58.461,9280.968
22,4 Jan 2040 10:05:37.677,4 Jan 2040 10:32:39.761,1622.084
23,4 Jan 2040 11:23:40.379,4 Jan 2040 13:58:23.120,9282.741
24,4 Jan 2040 17:45:02.184,4 Jan 2040 18:12:06.214,1624.030
25,4 Jan 2040 19:03:03.087,4 Jan 2040 21:37:47.774,9284.687
26,5 Jan 2040 01:24:26.680,5 Jan 2040 01:51:32.502,1625.822
27,5 Jan 2040 02:42:25.654,5 Jan 2040 05:17:12.433,9286.779
28,5 Jan 2040 09:03:51.184,5 Jan 2040 09:30:59.078,1627.894
29,5 Jan 2040 10:21:48.628,5 Jan 2040 12:56:37.083,9288.455
30,5 Jan 2040 16:43:15.678,5 Jan 2040 17:10:25.501,1629.823
31,5 Jan 2040 18:01:11.185,5 Jan 2040 20:36:01.738,9290.552
32,6 Jan 2040 00:22:40.178,6 Jan 2040 00:49:51.761,1631.583
33,6 Jan 2040 01:40:33.760,6 Jan 2040 04:15:26.394,9292.634
34,6 Jan 2040 08:02:04.671,6 Jan 2040 08:29:18.511,1633.840
35,6 Jan 2040 09:19:56.691,6 Jan 2040 11:54:51.045,9294.354
36,6 Jan 2040 15:41:29.166,6 Jan 2040 16:08:44.860,1635.694
37,6 Jan 2040 16:59:19.156,6 Jan 2040 19:34:15.695,9296.538
38,6 Jan 2040 23:20:53.660,6 Jan 2040 23:48:11.222,1637.562
39,7 Jan 2040 00:38:41.777,7 Jan 2040 03:13:40.339,9298.562
40,7 Jan 2040 07:00:18.154,7 Jan 2040 07:27:38.009,1639.855
41,7 Jan 2040 08:18:04.539,7 Jan 2040 10:53:04.991,9300.452
42,7 Jan 2040 14:39:42.651,7 Jan 2040 15:07:04.333,1641.682
43,7 Jan 2040 15:57:27.021,7 Jan 2040 18:32:29.632,9302.611
44,7 Jan 2040 22:19:07.137,7 Jan 2040 22:46:30.843,1643.706
45,7 Jan 2040 23:36:49.662,8 Jan 2040 02:11:54.282,9304.621
46,8 Jan 2040 05:58:31.631,8 Jan 2040 06:25:57.528,1645.898
47,8 Jan 2040 07:16:12.209,8 Jan 2040 09:51:18.927,9306.717
48,8 Jan 2040 13:37:56.117,8 Jan 2040 14:05:23.954,1647.838
49,8 Jan 2040 14:55:34.811,8 Jan 2040 17:30:43.570,9308.758
50,8 Jan 2040 21:17:20.605,8 Jan 2040 21:44:50.567,1649.962
51,8 Jan 2040 22:34:57.379,9 Jan 2040 01:10:08.212,9310.832
