"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 01:07:15.183,1 Jan 2040 08:03:07.049,24951.866
2,1 Jan 2040 23:02:55.848,2 Jan 2040 06:18:13.103,26117.255
3,2 Jan 2040 07:27:02.027,2 Jan 2040 14:24:05.959,25023.932
4,3 Jan 2040 05:23:22.335,3 Jan 2040 12:39:55.597,26193.262
5,3 Jan 2040 13:46:57.802,3 Jan 2040 20:45:04.655,25086.852
6,4 Jan 2040 11:43:48.692,4 Jan 2040 19:01:28.698,26260.006
7,4 Jan 2040 20:06:36.332,5 Jan 2040 03:06:03.135,25166.803
8,5 Jan 2040 18:04:14.947,6 Jan 2040 01:23:19.952,26345.005
9,6 Jan 2040 02:26:24.392,6 Jan 2040 09:27:01.422,25237.030
10,7 Jan 2040 00:24:41.089,7 Jan 2040 07:45:00.321,26419.232
11,7 Jan 2040 08:45:52.222,7 Jan 2040 15:47:59.506,25327.284
12,8 Jan 2040 06:45:07.144,8 Jan 2040 14:07:00.771,26513.627
13,8 Jan 2040 15:05:29.636,8 Jan 2040 22:08:57.408,25407.771
14,9 Jan 2040 13:05:33.108,9 Jan 2040 20:28:54.709,26601.601
15,9 Jan 2040 21:24:49.094,10 Jan 2040 04:29:55.130,25506.036
16,10 Jan 2040 19:25:58.988,11 Jan 2040 02:51:04.273,26705.285
17,11 Jan 2040 03:44:10.555,11 Jan 2040 10:50:52.678,25602.123
18,12 Jan 2040 01:46:24.808,12 Jan 2040 09:13:14.710,26809.903
19,12 Jan 2040 10:03:18.082,12 Jan 2040 17:11:50.063,25711.981
20,13 Jan 2040 08:06:50.555,13 Jan 2040 15:35:38.274,26927.719
21,13 Jan 2040 16:22:19.546,13 Jan 2040 23:32:47.284,25827.738
22,14 Jan 2040 14:27:16.258,14 Jan 2040 21:58:12.220,27055.962
23,14 Jan 2040 22:41:09.865,15 Jan 2040 05:53:44.358,25954.493
24,15 Jan 2040 20:47:41.910,16 Jan 2040 04:20:57.780,27195.870
25,16 Jan 2040 04:59:41.728,16 Jan 2040 12:14:41.279,26099.552
26,17 Jan 2040 03:08:07.519,17 Jan 2040 10:44:09.613,27362.094
27,17 Jan 2040 11:18:01.606,17 Jan 2040 18:35:38.069,26256.464
28,18 Jan 2040 09:28:33.106,18 Jan 2040 17:07:41.273,27548.167
29,18 Jan 2040 17:35:39.664,19 Jan 2040 00:56:34.717,26455.053
30,19 Jan 2040 15:48:58.662,19 Jan 2040 23:32:20.263,27801.601
31,19 Jan 2040 23:52:35.764,20 Jan 2040 07:17:31.248,26695.484
32,20 Jan 2040 22:09:24.213,21 Jan 2040 06:00:22.958,28258.745
33,21 Jan 2040 06:05:41.829,21 Jan 2040 13:38:27.649,27165.820
34,22 Jan 2040 04:29:49.747,22 Jan 2040 19:59:23.945,55774.198
35,23 Jan 2040 10:50:15.286,24 Jan 2040 02:20:20.125,55804.839
36,24 Jan 2040 17:10:40.838,25 Jan 2040 08:41:16.213,55835.375
37,25 Jan 2040 23:31:06.397,26 Jan 2040 15:02:12.196,55865.799
38,27 Jan 2040 05:51:31.987,27 Jan 2040 21:23:08.098,55896.111
39,28 Jan 2040 12:11:57.603,29 Jan 2040 03:44:03.908,55926.305
40,29 Jan 2040 18:32:23.254,30 Jan 2040 10:04:59.649,55956.395

