Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1/1/2040 0:00,1/1/2040 0:40,2407.508
2,1/1/2040 1:25,1/6/2040 19:26,496814.448
3,1/6/2040 19:33,1/8/2040 14:06,153222.039
4,1/8/2040 15:05,1/9/2040 20:28,105805.027
5,1/9/2040 21:24,1/11/2040 1:50,102323.239
6,1/11/2040 3:05,1/16/2040 9:55,456605.665
7,1/16/2040 10:47,1/16/2040 21:11,37410.775
8,1/16/2040 21:59,1/17/2040 4:50,24671.951
9,1/17/2040 5:38,1/17/2040 12:30,24676.762
10,1/17/2040 13:18,1/17/2040 20:09,24681.36
11,1/17/2040 20:57,1/18/2040 3:49,24686.148
12,1/18/2040 4:37,1/18/2040 11:28,24690.852
13,1/18/2040 12:16,1/18/2040 19:07,24695.825
14,1/18/2040 19:55,1/19/2040 2:47,24700.488
15,1/19/2040 3:35,1/19/2040 10:26,24705.228
16,1/19/2040 11:14,1/19/2040 18:06,24710.469
17,1/19/2040 18:53,1/20/2040 1:45,24715.018
18,1/20/2040 2:33,1/20/2040 9:25,24719.93
19,1/20/2040 10:12,1/20/2040 17:04,24725.267
20,1/20/2040 17:51,1/21/2040 0:44,24729.842
21,1/21/2040 1:31,1/21/2040 8:23,24734.942
22,1/21/2040 9:10,1/21/2040 16:03,24740.212
23,1/21/2040 16:50,1/21/2040 23:42,24745
24,1/22/2040 0:29,1/22/2040 7:21,24750.196
25,1/22/2040 8:08,1/22/2040 15:01,24755.325
26,1/22/2040 15:48,1/22/2040 22:40,24760.474
27,1/22/2040 23:27,1/23/2040 6:20,24765.602
28,1/23/2040 7:06,1/23/2040 13:59,24770.676
29,1/23/2040 14:46,1/23/2040 21:39,24776.173
30,1/23/2040 22:25,1/24/2040 5:18,24781.155
31,1/24/2040 6:04,1/24/2040 12:58,24786.336
32,1/24/2040 13:44,1/24/2040 20:37,24792.033
33,1/24/2040 21:23,1/25/2040 4:17,24796.947
34,1/25/2040 5:03,1/25/2040 11:56,24802.329
35,1/25/2040 12:42,1/25/2040 19:35,24808.036
36,1/25/2040 20:21,1/26/2040 3:13,24725.092
37,1/26/2040 3:51,1/26/2040 15:43,42681.714
38,1/26/2040 16:19,1/27/2040 2:24,36315.256
,,,
Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1/1/2040 0:00,1/6/2040 4:05,446712.739
2,1/6/2040 6:34,1/6/2040 9:00,8761.912
3,1/6/2040 12:15,1/8/2040 8:19,158650.523
4,1/8/2040 10:06,1/9/2040 15:55,107349.462
5,1/9/2040 17:44,1/11/2040 1:47,115346.179
6,1/11/2040 3:20,1/16/2040 18:48,487696.546
7,1/16/2040 19:55,1/17/2040 2:45,24647.739
8,1/17/2040 3:48,1/17/2040 10:35,24427.114
9,1/17/2040 11:36,1/17/2040 18:21,24349.367
10,1/17/2040 19:21,1/18/2040 2:07,24313.094
11,1/18/2040 3:06,1/18/2040 9:51,24293.953
12,1/18/2040 10:50,1/18/2040 17:35,24282.798
13,1/18/2040 18:34,1/19/2040 1:19,24277.542
14,1/19/2040 2:18,1/19/2040 9:03,24276.818
15,1/19/2040 10:02,1/19/2040 16:47,24281.135
16,1/19/2040 17:47,1/20/2040 0:31,24293.332
17,1/20/2040 1:32,1/20/2040 8:17,24320.766
18,1/20/2040 9:18,1/20/2040 16:05,24386.072
19,1/20/2040 17:08,1/20/2040 23:58,24580.919
20,1/21/2040 1:05,1/21/2040 8:18,25986.338
21,1/21/2040 13:42,1/21/2040 21:14,27077.194
22,1/21/2040 22:21,1/22/2040 5:12,24677.752
23,1/22/2040 6:15,1/22/2040 13:02,24437.255
24,1/22/2040 14:03,1/22/2040 20:49,24354.936
25,1/22/2040 21:49,1/23/2040 4:34,24317.059
26,1/23/2040 5:33,1/23/2040 12:18,24297.078
27,1/23/2040 13:18,1/23/2040 20:02,24285.538
28,1/23/2040 21:02,1/24/2040 3:46,24279.95
29,1/24/2040 4:45,1/24/2040 11:30,24278.847
30,1/24/2040 12:29,1/24/2040 19:14,24282.858
31,1/24/2040 20:14,1/25/2040 2:59,24294.317
32,1/25/2040 3:59,1/25/2040 10:44,24320.315
33,1/25/2040 11:46,1/25/2040 18:32,24381.823
34,1/25/2040 19:35,1/26/2040 2:24,24560.657
35,1/26/2040 3:24,1/27/2040 2:24,82759.516
